first_month,event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views
2025-04,2025-04,124745,PB)산리오마이멜로디아샷추복숭아350ml,음료,차음료,192,79,241.0,151,26,9,2025-04-03,17.2185
2025-04,2025-04,124961,포켓델리푸실리파스타샐러드,미반,푸드 간편식,217,166,238.0,197,10,7,2025-04-08,5.0761
2025-04,2025-04,103841,농심)멘토스(미니)200,과자,캔디류,156,55,235.0,95,48,3,2025-04-03,50.5263
2025-04,2025-04,106868,러비어스)프라가500ml캔,맥주,수입맥주,206,90,234.0,173,16,10,2025-04-03,9.2486
2025-04,2025-04,132456,삼양)까르보불닭볶음면봉지,면,봉지면,166,55,234.0,101,45,6,2025-04-03,44.5545
2025-04,2025-04,123934,CJ)맥스봉고소한치즈후랑크65g,냉장,냉장간식,175,57,233.0,104,47,4,2025-04-03,45.1923
2025-04,2025-04,109696,글렌피딕15년700ml,양주와인,양주,192,133,232.0,163,14,14,2025-04-01,8.589
2025-04,2025-04,125468,PB)자이언츠육각꼬깔콘고소한맛134g,과자,스낵류,180,112,225.0,120,0,55,2025-04-29,0.0
2025-04,2025-04,109699,글렌피딕21년그랑레제르바700ml,양주와인,양주,188,140,224.0,164,12,12,2025-04-01,7.3171
2025-04,2025-04,109470,G)마루짱유부우동94g,면,용기면,163,77,224.0,100,31,21,2025-04-03,31.0
2025-04,2025-04,113132,믹터스 스몰배치 사워 매쉬 700ml,양주와인,양주,188,130,219.0,162,11,13,2025-04-08,6.7901
2025-04,2025-04,123407,삼립)잘익은참쑥이야기110g,빵,간식빵,172,63,217.0,133,24,9,2025-04-03,18.0451
2025-04,2025-04,062575,PB)앙리마티스카페라떼250ml,유음료,컵커피,164,57,216.0,116,37,0,2025-04-03,31.8966
2025-04,2025-04,124469,글렌드로낙캐스크바틀링1994 28년 700ml,양주와인,양주,192,123,209.0,178,6,7,2025-04-09,3.3708
2025-04,2025-04,082505,삼립)크림빵75g,빵,간식빵,141,49,206.0,83,43,3,2025-04-04,51.8072
2025-04,2025-04,124118,오뚜기)컵누들짬뽕맛소컵,면,용기면,161,56,203.0,109,32,6,2025-04-03,29.3578
2025-04,2025-04,061713,덴마크)바나바나우유300ml,유음료,가공우유,156,38,197.0,110,31,3,2025-04-04,28.1818
2025-04,2025-04,116155,해태)자가비짭짤한맛45g,과자,스낵류,140,51,193.0,102,30,3,2025-04-06,29.4118
2025-04,2025-04,124706,지지)XXL슈퍼슈프림피자,간식,냉장피자,162,58,193.0,104,27,13,2025-04-04,25.9615
2025-04,2025-04,083771,PB)쏘스윗카스테라160g,빵,간식빵,161,84,192.0,117,26,5,2025-04-04,22.2222
2025-04,2025-04,125469,PB)자이언츠육각꼬깔콘군옥수수맛134g,과자,스낵류,140,84,191.0,86,0,53,2025-04-29,0.0
2025-04,2025-04,083821,삼립)신선가득꿀호떡200g,빵,간식빵,146,63,191.0,88,35,7,2025-04-03,39.7727
2025-04,2025-04,124489,안유성)나폴리탄파스타230g,간식,냉장피자,143,66,190.0,101,29,5,2025-04-03,28.7129
2025-04,2025-04,083847,삼립)주종발효단팥크림빵115g,빵,간식빵,135,56,190.0,84,37,3,2025-04-04,44.0476
2025-04,2025-04,124807,PB)버터스노우롤140g(4입),빵,간식빵,157,68,188.0,110,20,15,2025-04-07,18.1818
2025-04,2025-04,124727,SB)닭가슴살타코랩샌드,조리빵,샐러드모닝랩,169,83,188.0,142,16,3,2025-04-03,11.2676
2025-04,2025-04,124468,글렌드로낙캐스크바틀링1993 30년 700ml,양주와인,양주,177,115,186.0,169,1,7,2025-04-09,0.5917
2025-04,2025-04,124621,하림)오늘단백돌체라떼250ml,유음료,프로틴 음료,160,17,184.0,115,27,2,2025-04-05,23.4783
2025-05,2025-05,125514,KBO)프로야구 콜렉션카드2025,문구/완구,일반완구,59336,13418,73838.5,48100,6721,3354,2025-05-22,13.973
2025-05,2025-05,125865,2025KBO오피셜컬렉션카드,문구/완구,일반완구,58975,12954,67961.5,52000,3621,2737,2025-05-21,6.9635
2025-05,2025-05,125500,김잼작가아이스쿨러백,일용잡화,취미용품,32902,16221,37615.0,29812,2238,573,2025-05-01,7.507
2025-05,2025-05,107326,KBO야구카드바인더북,문구/완구,일반완구,10493,4926,12894.5,8877,1159,321,2025-05-21,13.0562
2025-05,2025-05,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵,간식빵,6863,2179,10012.5,4694,1564,410,2025-05-29,33.3191
2025-05,2025-05,105742,우진)샤또뽕떼까네19,양주와인,와인,5438,1179,7011.0,4306,792,223,2025-05-08,18.3929
2025-05,2025-05,125843,이스타)도쿠시마라면큰컵,면,용기면,4109,2493,4743.5,3619,356,59,2025-05-28,9.837
2025-05,2025-05,834917,5월 도시락 구독,,,3088,1385,4422.5,2378,659,38,2025-05-01,27.7124
2025-05,2025-05,125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2773,1178,3754.0,2139,506,72,2025-05-01,23.6559
