event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,first_month
2025-03,124684,KBO)삼립한화이글스핫투움바브레드90g,빵,간식빵,5691,2051,8251.0,3840,1312,338,2025-03-20,34.1667,2025-03
2025-03,124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵,간식빵,5397,2014,7950.0,3569,1292,347,2025-03-20,36.2006,2025-03
2025-03,124446,3월 도시락 구독(100원),,,4997,2009,7479.0,3663,1235,67,2025-03-01,33.7155,2025-03
2025-03,124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,4940,1824,7424.0,3099,1291,334,2025-03-20,41.6586,2025-03
2025-03,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,5856,1774,7386.5,4777,660,347,2025-03-01,13.8162,2025-03
2025-03,124229,하쿠슈 DR,양주와인,양주,6652,1127,7173.5,6064,142,372,2025-03-11,2.3417,2025-03
2025-03,105887,롯데)맛장우전주식비빔밥,미반,도시락,4647,1729,7040.5,3266,1245,58,2025-03-01,38.12,2025-03
2025-03,124390,필리치즈스테이크버거,조리빵,햄버거,5158,1914,6740.5,3854,1000,62,2025-03-01,25.9471,2025-03
2025-03,124265,"3월 삼각김밥,김밥 구독(100원)",,,4169,1701,6484.5,2932,1155,53,2025-03-01,39.3929,2025-03
2025-03,124136,듬뿍참치유부초밥,미반,초밥류,4672,1646,6421.5,3321,1051,82,2025-03-01,31.6471,2025-03
2025-03,124390,"3월 샌드위치,햄버거 구독(100원)",,,4042,1592,6308.0,2822,1139,46,2025-03-01,40.3614,2025-03
2025-03,124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵,간식빵,3817,1527,5834.0,2325,1032,291,2025-03-20,44.3871,2025-03
2025-03,123503,롯데)더커진닭가슴살잡곡밥삼각,미반,삼각김밥,4791,1782,5707.5,3818,374,453,2025-03-01,9.7957,2025-03
2025-03,123601,롯데)렌틸콩유부초밥&에그샐러드,미반,초밥류,4726,1908,5673.0,3791,384,427,2025-03-01,10.1293,2025-03
2025-03,192628,3월 위스키 구독,,,5030,3220,5593.0,4631,287,70,2025-03-01,6.1974,2025-03
2025-03,834845,3월 도시락 구독,,,4030,1850,5522.0,3210,732,66,2025-03-05,22.8037,2025-03
2025-03,124225,타케츠루 퓨어몰트,양주와인,양주,4204,1171,5473.0,3375,632,131,2025-03-04,18.7259,2025-03
2025-03,105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,4377,1510,5438.5,3322,716,101,2025-03-01,21.5533,2025-03
2025-03,123500,롯데)닭가슴살스테이크도시락,미반,도시락,4363,1700,5264.0,3451,373,411,2025-03-01,10.8085,2025-03
2025-03,052382,세븐카페)아메리카노(R),즉석음료,세븐카페,3274,1310,5158.0,2248,963,28,2025-03-01,42.8381,2025-03
2025-03,124681,KBO)삼립NC다이노스공룡알흑임자컵케익130g,빵,간식빵,3289,1325,5031.0,2034,853,280,2025-03-20,41.9371,2025-03
2025-03,124508,최강록의로스팜에그샌드,조리빵,샌드위치,3725,1340,4992.0,2685,770,89,2025-03-12,28.6778,2025-03
2025-03,124682,KBO)삼립키움히어로즈자색고구마팡100g,빵,간식빵,3221,1268,4879.0,1948,850,268,2025-03-20,43.6345,2025-03
2025-03,109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,3757,1688,4577.0,3035,479,116,2025-03-01,15.7825,2025-03
2025-03,116939,매콤투움바파스타,미반,푸드 간편식,3601,1404,4515.0,2826,577,52,2025-03-01,20.4176,2025-03
2025-03,124679,KBO)삼립KBO홈런배트롤150g,디저트,냉장베이커리,3489,1422,4489.0,2717,498,183,2025-03-20,18.329,2025-03
2025-03,108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,3901,1269,4396.5,3380,261,164,2025-03-01,7.7219,2025-03
2025-03,013782,New모둠초밥정식,미반,초밥류,3547,1673,4377.5,2802,507,97,2025-03-01,18.0942,2025-03
2025-03,124082,PB)밀크딸기콘170ml,아이스크림,노벨티,3802,2407,4300.5,3313,305,84,2025-03-01,9.2062,2025-03
2025-03,123502,롯데)홀그레인머스타드닭가슴살김밥,미반,김밥,3368,1415,4297.0,2489,362,413,2025-03-01,14.544,2025-03
2025-03,107879,3월 세븐카페 구독,,,3084,1809,3996.0,2580,447,43,2025-03-01,17.3256,2025-03
2025-03,012679,11찬 도시락,미반,도시락,2965,1258,3914.0,2287,538,51,2025-03-01,23.5243,2025-03
2025-03,124510,우진)지오도BDM 18,양주와인,와인,3405,1016,3896.5,2887,242,185,2025-03-01,8.3824,2025-03
2025-03,124511,우진)르볼테21/22 750ml,양주와인,와인,3309,1056,3894.0,2627,308,239,2025-03-01,11.7244,2025-03
2025-03,990263,"모바일금액권 10,000원",기타,판촉물,2476,1014,3874.0,1707,701,44,2025-03-01,41.0662,2025-03
2025-03,124532,맛장우맛자랑 직화닭갈비,미반,도시락,2774,1004,3771.5,2031,592,38,2025-03-18,29.1482,2025-03
2025-03,124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,3297,1967,3682.5,2922,210,97,2025-03-01,7.1869,2025-03
2025-03,601328, 7P)랑그드샤화이트초코70g,과자,비스킷류,2886,1370,3500.5,2250,364,143,2025-03-01,16.1778,2025-03
2025-03,107409, G)대파크래커80g,과자,비스킷류,2948,1585,3499.5,2415,320,112,2025-03-01,13.2505,2025-03
2025-03,123767,"모바일금액권 50,000원",기타,판촉물,2061,723,3409.5,1365,663,29,2025-03-01,48.5714,2025-03
2025-03,124670,SF9화보매거진기획set,과자,젤리류,2379,505,3406.0,1781,489,82,2025-03-07,27.4565,2025-03
2025-03,124224,요이치 싱글몰트,양주와인,양주,2680,1222,3358.0,2188,348,89,2025-03-04,15.9049,2025-03
2025-03,105367,3월 세븐카페 반값구독,,,2722,1728,3345.0,2366,315,24,2025-03-01,13.3136,2025-03
2025-03,124159,리얼소프트햄샌드,조리빵,샌드위치,2479,1076,3083.0,1861,436,32,2025-03-01,23.4283,2025-03
2025-03,123443,스크램블&불고기덮밥,미반,도시락,2365,946,3080.5,1698,425,116,2025-03-01,25.0294,2025-03
2025-03,123306,안유성명장김밥명란타마고,미반,김밥,2259,1023,3051.0,1595,440,120,2025-03-01,27.5862,2025-03
2025-03,132168,농심)육개장사발면,면,용기면,2170,812,3035.0,1343,608,29,2025-03-01,45.2718,2025-03
2025-03,107542,PB)k리그허니황치즈감자칩60g,과자,스낵류,2393,1300,2943.5,1918,308,89,2025-03-01,16.0584,2025-03
2025-03,123926,매콤왕교자그라탕,미반,푸드 간편식,2325,1009,2929.0,1817,384,28,2025-03-01,21.1337,2025-03
2025-03,117574,PB)누네띠네55g,과자,비스킷류,2135,822,2921.5,1302,585,37,2025-03-01,44.9309,2025-03
2025-03,109166,PB)생생감자칩페퍼솔트60g,과자,스낵류,2254,1246,2913.5,1758,387,34,2025-03-01,22.0137,2025-03
2025-03,109671,닭가슴살햄듬뿍샌드,조리빵,샌드위치,2180,703,2904.0,1567,420,90,2025-03-01,26.8028,2025-03
2025-03,123766,"모바일금액권 30,000원",기타,판촉물,1708,605,2861.0,1095,576,25,2025-03-01,52.6027,2025-03
2025-03,108364,우진)루첸테 750ml,양주와인,와인,2554,826,2836.0,2112,143,198,2025-03-01,6.7708,2025-03
2025-03,601347,엔제이)블랙썬더버터22g,과자,초콜릿,2584,1853,2807.0,2319,129,79,2025-03-01,5.5627,2025-03
2025-03,124261,맥캘란 12년 셰리오크,양주와인,양주,2308,693,2794.5,1953,223,99,2025-03-17,11.4183,2025-03
2025-03,124534,맛장우맛자랑 부대볶음,미반,도시락,2105,832,2740.0,1565,410,25,2025-03-19,26.1981,2025-03
2025-03,124134,닭강정김밥,미반,김밥,2125,974,2715.0,1587,382,46,2025-03-01,24.0706,2025-03
2025-03,112645,PB)이비가짬뽕큰컵,면,용기면,2058,953,2701.5,1478,410,54,2025-03-01,27.7402,2025-03
2025-03,070092,서울)흰우유1L,유음료,흰우유,1831,486,2685.0,1153,524,38,2025-03-01,45.4467,2025-03
2025-03,013794,밥먹자얘들아 도시락,미반,도시락,2091,942,2644.0,1636,329,49,2025-03-01,20.11,2025-03
2025-03,124513,우진)루체 21 750ml,양주와인,와인,2360,770,2627.5,1899,147,200,2025-03-01,7.7409,2025-03
2025-03,834791,"3월 삼각김밥,김밥 구독",,,2141,1302,2626.5,1862,232,38,2025-03-05,12.4597,2025-03
2025-03,108473,그린)불닭치즈소시지김밥,미반,김밥,2091,831,2608.0,1622,291,97,2025-03-01,17.9408,2025-03
2025-03,124067,박은영)마라마파두부덮밥380g,냉장,냉장간편식,2480,1661,2546.0,2405,30,32,2025-03-01,1.2474,2025-03
2025-03,109583,신동엽)블랙서클하이볼레몬350ml캔,양주와인,하이볼,2062,1146,2410.5,1642,218,104,2025-03-01,13.2765,2025-03
2025-03,124254,맥캘란 18년 셰리오크,양주와인,양주,2150,524,2409.0,1919,115,86,2025-03-17,5.9927,2025-03
2025-03,123552,롯데)7찬도시락,미반,도시락,1935,756,2364.0,1422,345,25,2025-03-01,24.2616,2025-03
2025-03,123556,롯데)밥먹자얘들아,미반,도시락,1947,803,2357.0,1464,317,36,2025-03-01,21.653,2025-03
2025-03,123059,어메이징딸기샌드,조리빵,샌드위치,1639,687,2219.0,1146,318,98,2025-03-01,27.7487,2025-03
2025-03,123598,롯데)닭가슴살잡곡샌드,조리빵,샌드위치,1768,868,2194.0,1254,146,290,2025-03-01,11.6427,2025-03
2025-03,123094,현대)맛장우 통등심돈까스&김치제육,미반,도시락,1920,1021,2185.0,1564,218,35,2025-03-01,13.9386,2025-03
2025-03,123600,카스 프레쉬 350ml캔(12입)*전용잔 2개,맥주,수입맥주,1564,644,2147.0,1220,293,28,2025-03-06,24.0164,2025-03
2025-03,108543,불닭치즈소시지김밥,미반,김밥,1600,608,2127.0,1119,304,91,2025-03-01,27.1671,2025-03
2025-03,041567,PB)푸하하소금우유크림빵110g,디저트,냉장베이커리,1545,616,2078.0,986,361,69,2025-03-01,36.6126,2025-03
2025-03,124634,키키쿼카)스트레스볼set,과자,캔디류,1830,1218,2060.5,1660,113,36,2025-03-01,6.8072,2025-03
