mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,event_count,unique_users,weighted_interaction_score,first_event_date,last_event_date
124230,히비키 하모니,양주와인>양주>위스키,18445,2708,20184.5,2025-03-11,2025-05-22
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,14918,4139,19082.0,2025-03-01,2025-05-31
123504,닭가슴살스테이크도시락,미반>도시락>기타,14740,5356,18921.5,2025-03-01,2025-05-23
124530,최강록의간장들기름비빔밥,미반>도시락>기타,14863,5848,18758.0,2025-03-15,2025-05-31
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵>간식빵>캐릭터빵,12729,4532,16960.5,2025-03-20,2025-05-31
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵>간식빵>캐릭터빵,11268,3945,15413.5,2025-03-20,2025-05-31
105887,롯데)맛장우전주식비빔밥,미반>도시락>도시락,9687,3821,14472.0,2025-03-01,2025-05-31
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵>간식빵>캐릭터빵,10280,3535,14389.0,2025-03-20,2025-05-31
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵>간식빵>캐릭터빵,10019,3551,14316.0,2025-03-20,2025-05-31
109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,11513,4596,13731.0,2025-03-01,2025-05-31
210294,팔도)짬뽕왕뚜껑,면>용기면>라면(대형컵),10160,3193,13647.5,2025-04-09,2025-05-31
124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,9730,3408,13623.0,2025-03-20,2025-05-31
125382,NCTWISH기획세트,과자>젤리류>국산젤리,11045,2407,13579.0,2025-04-24,2025-05-26
105748,지비)귀달베르토750ml,양주와인>와인>레드,11570,2727,13183.5,2025-03-01,2025-05-31
107326,KBO야구카드바인더북,문구/완구>일반완구>일반완구,10493,4926,12894.5,2025-05-21,2025-05-31
123619,홀그레인머스타드닭가슴살김밥,미반>김밥>말이김밥,9430,3167,12818.0,2025-03-01,2025-05-23
013782,New모둠초밥정식,미반>초밥류>초밥,10527,4735,12670.0,2025-03-01,2025-05-31
124534,맛장우맛자랑 부대볶음,미반>도시락>기타,9806,3230,12589.0,2025-03-19,2025-05-31
012679,11찬 도시락,미반>도시락>기타,9153,3710,11636.0,2025-03-01,2025-05-31
124136,듬뿍참치유부초밥,미반>초밥류>유부초밥,8345,2831,11002.5,2025-03-01,2025-05-31
109055,G)크라시에유자셔벗140ml,아이스크림>고급>컵,9202,4896,10738.5,2025-04-03,2025-05-31
124390,필리치즈스테이크버거,조리빵>햄버거>햄버거,8491,3316,10673.5,2025-03-01,2025-05-31
125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,8624,3281,10563.0,2025-04-16,2025-05-31
124533,롯데)맛장우맛자랑 부대볶음,미반>도시락>도시락,8179,2659,10522.5,2025-03-19,2025-05-31
132168,농심)육개장사발면,면>용기면>라면(소형컵),7366,2562,10488.5,2025-03-01,2025-05-31
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵>간식빵>캐릭터빵,7295,2828,10445.0,2025-03-20,2025-05-31
123444,와일드 터키 지미 러셀  70주년 릴리즈,양주와인>양주>위스키,9976,1571,10255.5,2025-03-11,2025-05-12
124532,맛장우맛자랑 직화닭갈비,미반>도시락>기타,7761,2585,10207.0,2025-03-18,2025-05-31
070092,서울)흰우유1L,유음료>흰우유>흰우유(대),6922,1654,10032.0,2025-03-01,2025-05-31
125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,6863,2179,10012.5,2025-05-29,2025-05-31
124932,버터치킨카레덮밥,미반>도시락>기타,7901,3031,9954.0,2025-04-09,2025-05-31
123953,안유성명장 치킨난반정식,미반>도시락>기타,8337,3176,9793.5,2025-03-01,2025-05-31
123552,롯데)7찬도시락,미반>도시락>도시락,8039,2454,9745.5,2025-03-01,2025-05-31
210445,오뚜기)스파게티큰컵,면>용기면>비빔/볶음면,6484,1936,9479.5,2025-03-02,2025-05-31
124508,최강록의로스팜에그샌드,조리빵>샌드위치>기타 ,7484,2875,9462.5,2025-03-12,2025-05-31
990120,"모바일금액권 5,000원",기타>판촉물>판촉물,6679,3616,9291.5,2025-03-01,2025-05-31
124228,야마자키 12년,양주와인>양주>위스키,8744,1317,9255.5,2025-03-11,2025-05-03
108401,롯데)맛장우도시락 고기(肉)올인원,미반>도시락>도시락,7106,2189,9223.5,2025-03-01,2025-05-31
124679,KBO)삼립KBO홈런배트롤150g,디저트>냉장베이커리>롤케익,7151,2710,9131.5,2025-03-20,2025-05-31
052382,세븐카페)아메리카노(R),즉석음료>세븐카페>HOT,6173,2752,9053.5,2025-03-01,2025-05-31
124227,야마자키 DR,양주와인>양주>위스키,8297,1394,8974.5,2025-03-11,2025-04-19
990263,"모바일금액권 10,000원",기타>판촉물>판촉물,5661,2125,8942.0,2025-03-01,2025-05-31
124340,G)LOOK초콜릿딸기복숭아46g,과자>초콜릿>볼초콜릿,7332,3351,8801.0,2025-03-01,2025-05-31
107478,롯데)고기(肉)맥시멈도시락,미반>도시락>도시락,7478,2233,8790.0,2025-03-01,2025-05-31
124681,KBO)삼립NC다이노스공룡알흑임자컵케익130g,빵>간식빵>캐릭터빵,5899,2415,8525.0,2025-03-20,2025-05-31
123767,"모바일금액권 50,000원",기타>판촉물>판촉물,5231,1609,8457.0,2025-03-01,2025-05-31
123655,닭가슴살잡곡샌드,조리빵>샌드위치>기타 ,6198,2408,8356.0,2025-03-01,2025-05-23
125341,5월 도시락 구독(첫구독100원),,5185,2269,8073.0,2025-04-29,2025-05-31
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인>하이볼>국산하이볼,6230,1970,7914.0,2025-04-03,2025-05-31
013794,밥먹자얘들아 도시락,미반>도시락>기타,6275,2606,7907.0,2025-03-01,2025-05-30
161188,코카)코카콜라제로500ml,음료>탄산음료>제로탄산,5268,1590,7834.0,2025-03-06,2025-05-31
124682,KBO)삼립키움히어로즈자색고구마팡100g,빵>간식빵>캐릭터빵,5381,2070,7825.0,2025-03-20,2025-05-31
124446,3월 도시락 구독(100원),,5013,2018,7506.0,2025-03-01,2025-05-09
108473,그린)불닭치즈소시지김밥,미반>김밥>말이김밥,5951,1853,7470.5,2025-03-01,2025-05-31
123556,롯데)밥먹자얘들아,미반>도시락>도시락,6138,2197,7386.0,2025-03-01,2025-05-31
041567,PB)푸하하소금우유크림빵110g,디저트>냉장베이커리>냉장빵,5621,2043,7374.5,2025-03-01,2025-05-31
123766,"모바일금액권 30,000원",기타>판촉물>판촉물,4407,1371,7333.5,2025-03-01,2025-05-31
117574,PB)누네띠네55g,과자>비스킷류>파이,5389,1953,7321.5,2025-03-01,2025-05-31
124229,하쿠슈 DR,양주와인>양주>위스키,6661,1129,7175.5,2025-03-11,2025-05-12
070012,빙그레)바나나우유240ml,유음료>가공우유>바나나우유,4936,1622,7161.5,2025-03-01,2025-05-31
132835,PB)#대파열라면큰컵,면>용기면>라면(대형컵),5072,1545,7054.5,2025-03-01,2025-05-31
105742,우진)샤또뽕떼까네19,양주와인>와인>레드,5438,1179,7011.0,2025-05-08,2025-05-31
109671,닭가슴살햄듬뿍샌드,조리빵>샌드위치>기타 ,5288,1549,6844.0,2025-03-01,2025-05-30
202387,칠성)펩시콜라제로355ml,음료>탄산음료>제로탄산,4818,1708,6797.0,2025-03-01,2025-05-31
125237,엔시티위시2집미니앨범,미디어 상품>음반>CD,5002,1923,6575.5,2025-04-15,2025-05-09
124560,PB)박은영셰프의유산슬탕면큰컵,면>용기면>숙면/건면,5075,1857,6537.0,2025-04-09,2025-05-31
124265,"3월 삼각김밥,김밥 구독(100원)",,4183,1707,6511.5,2025-03-01,2025-05-09
107409, G)대파크래커80g,과자>비스킷류>크래커,5285,2552,6332.5,2025-03-01,2025-05-31
124390,"3월 샌드위치,햄버거 구독(100원)",,4055,1599,6332.0,2025-03-01,2025-05-09
109020,농심)신라면툼바큰사발,면>용기면>비빔/볶음면,4525,1514,6273.0,2025-03-01,2025-05-31
123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,4885,1754,6220.5,2025-04-03,2025-05-31
124534,4월 도시락 구독,,4216,1875,6116.5,2025-04-01,2025-05-18
124531,현대)맛장우맛자랑 직화닭갈비,미반>도시락>도시락,5147,1833,6104.5,2025-03-19,2025-05-31
124549,PB)바밤바꿀밤생크림빵120g,디저트>냉장베이커리>냉장빵,5727,3481,6095.0,2025-03-25,2025-05-31
125111,뚠뚠치킨&에그샌드,조리빵>샌드위치>샌드위치,4502,1306,5987.0,2025-04-15,2025-05-31
124529,롯데)최강록의간장들기름비빔밥,미반>도시락>도시락,5009,1893,5972.0,2025-03-19,2025-05-31
114339,히밥)럭히밥김찌라면큰컵,면>용기면>라면(대형컵),4526,1618,5946.5,2025-03-01,2025-05-31
601328, 7P)랑그드샤화이트초코70g,과자>비스킷류>쿠키,4810,1990,5837.5,2025-03-01,2025-05-31
021398,대만식 햄치즈샌드위치,조리빵>샌드위치>샌드위치,4433,1555,5783.0,2025-03-01,2025-05-31
123503,롯데)더커진닭가슴살잡곡밥삼각,미반>삼각김밥>기타주먹밥(더커진삼각),4817,1791,5699.5,2025-03-01,2025-05-19
123601,롯데)렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,4742,1916,5672.0,2025-03-01,2025-05-19
125051,사천식마파두부덮밥,미반>도시락>기타,4178,1725,5649.0,2025-04-16,2025-05-31
210386,삼양)삼양라면큰컵,면>용기면>라면(대형컵),4291,1373,5629.0,2025-03-08,2025-05-31
192628,3월 위스키 구독,,5037,3225,5597.0,2025-03-01,2025-05-03
108810,올뉴빅닭강정,미반>푸드 간편식>안주/반찬,4719,1734,5576.5,2025-03-01,2025-05-31
834845,3월 도시락 구독,,4049,1858,5543.0,2025-03-05,2025-05-31
123596,롯데)인가샌드위치,조리빵>샌드위치>샌드위치,4568,1689,5515.5,2025-03-01,2025-05-31
124225,타케츠루 퓨어몰트,양주와인>양주>위스키,4207,1173,5474.0,2025-03-04,2025-05-02
123629,G)LOOK초콜릿(네가지과일)44g,과자>초콜릿>볼초콜릿,4716,2436,5447.0,2025-03-01,2025-05-31
108543,불닭치즈소시지김밥,미반>김밥>말이김밥,4032,1445,5365.0,2025-03-01,2025-05-31
107585,고기(肉)맥시멈도시락,미반>도시락>기타,4248,1562,5331.0,2025-03-01,2025-05-31
118889,시원)후와토로리치피스타치오40g,디저트>냉동디저트>냉동빵,4279,1925,5279.0,2025-04-03,2025-05-31
123500,롯데)닭가슴살스테이크도시락,미반>도시락>도시락,4383,1710,5269.0,2025-03-01,2025-05-19
192098,앙리마티스나디아(화이트),양주와인>와인>화이트,4481,2698,5240.0,2025-03-01,2025-05-31
062346,PB)오구초코타임200ml,유음료>가공우유>초코우유,3904,1579,5236.0,2025-03-01,2025-05-31
150143,하겐)컵딸기,아이스크림>고급>컵,3464,1420,5198.0,2025-03-03,2025-05-31
105698,인가샌드위치,조리빵>샌드위치>샌드위치,4113,1577,5175.0,2025-03-01,2025-05-31
192580,무학)드보뀌베D 750ml,양주와인>와인>스파클링(샴페인),4460,1401,5161.5,2025-04-02,2025-05-31
132159,농심)짜파게티큰사발,면>용기면>비빔/볶음면,3719,1360,5123.0,2025-03-02,2025-05-31
601347,엔제이)블랙썬더버터22g,과자>초콜릿>바초콜릿,4402,2673,5094.0,2025-03-01,2025-05-31
124082,PB)밀크딸기콘170ml,아이스크림>노벨티>콘,4433,2629,5072.5,2025-03-01,2025-05-31
112645,PB)이비가짬뽕큰컵,면>용기면>숙면/건면,3959,1617,5067.0,2025-03-01,2025-05-31
115940,오리온)무뚝뚝감자칩60g,과자>스낵류>감자스낵,3668,1318,4963.0,2025-03-03,2025-05-31
123554,롯데)11찬도시락,미반>도시락>도시락,4050,1347,4904.0,2025-03-01,2025-05-31
053163,매콤점보넓적다리,즉석 식품>즉석치킨(삭제예정)>조각류_삭제예정,3562,1252,4890.5,2025-03-01,2025-05-31
160749,칠성)2%부족할때복숭아500ml,음료>스포츠음료>스포츠음료(중),3278,1035,4846.0,2025-03-01,2025-05-31
123308,CJ)무항생제1등급계란10입,신선>수축산/계란>계란,3691,958,4785.0,2025-04-23,2025-05-31
125843,이스타)도쿠시마라면큰컵,면>용기면>라면(대형컵),4109,2493,4743.5,2025-05-28,2025-05-31
108365,우진)지오도라퀸타20/21 750ml,양주와인>와인>레드,4222,1395,4739.5,2025-03-01,2025-05-31
124261,맥캘란 12년 셰리오크,양주와인>양주>위스키,3954,1402,4673.0,2025-03-17,2025-05-31
125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품>음반>CD,3971,2693,4664.5,2025-04-29,2025-05-31
116939,매콤투움바파스타,미반>푸드 간편식>조리면,3610,1407,4516.0,2025-03-01,2025-04-29
123600,카스 프레쉬 350ml캔(12입)*전용잔 2개,맥주>수입맥주>캔맥주(소),3375,1495,4460.5,2025-03-06,2025-05-31
834917,5월 도시락 구독,,3088,1385,4422.5,2025-05-01,2025-05-31
202378,칠성)칠성사이다제로250ml,음료>탄산음료>제로탄산,4135,1479,4367.0,2025-03-01,2025-05-31
803186,농심)츄파춥스300,과자>캔디류>과일향캔디,3142,1410,4324.0,2025-03-12,2025-05-31
123502,롯데)홀그레인머스타드닭가슴살김밥,미반>김밥>말이김밥,3394,1424,4296.0,2025-03-01,2025-05-17
123094,현대)맛장우 통등심돈까스&김치제육,미반>도시락>도시락,3724,1696,4276.0,2025-03-01,2025-05-31
110580,농심)포테토칩오리지널60g,과자>스낵류>감자스낵,3015,1098,4259.0,2025-03-08,2025-05-31
180959,화요X.Premium,전통주>소주>증류식소주,3813,1582,4258.0,2025-03-01,2025-05-31
021729,햄듬뿍치즈샌드,조리빵>샌드위치>샌드위치,3408,1065,4248.5,2025-03-01,2025-05-24
124511,우진)르볼테21/22 750ml,양주와인>와인>레드,3602,1154,4202.0,2025-03-01,2025-05-31
118860,발베니 12년 싱글배럴 700ml,양주와인>양주>위스키,3838,1020,4159.5,2025-04-08,2025-05-31
124265,그린)스팸계란마요삼각,미반>삼각김밥>삼각김밥,3330,1563,4159.0,2025-03-01,2025-05-31
014347,스팸마요계란김밥,미반>김밥>말이김밥,3220,1189,4134.0,2025-03-01,2025-05-31
124134,닭강정김밥,미반>김밥>말이김밥,3290,1408,4134.0,2025-03-01,2025-05-08
124510,우진)지오도BDM 18,양주와인>와인>레드,3599,1079,4099.5,2025-03-01,2025-05-31
132865,PB)우불식당즉석우동큰컵,면>용기면>숙면/건면,3087,1086,4025.0,2025-03-01,2025-05-31
107879,3월 세븐카페 구독,,3089,1813,4001.0,2025-03-01,2025-05-09
021802,롯데)대만식햄치즈샌드위치,조리빵>샌드위치>샌드위치,3213,1087,3986.0,2025-03-01,2025-05-31
220530,CJ)작은햇반130g,가공식품>가공미반류>즉석밥,2788,932,3972.0,2025-03-01,2025-05-31
109521,더커진유부초밥6입,미반>초밥류>유부초밥,3120,1210,3951.0,2025-03-26,2025-05-31
123742,NEW갈비맛닭강정,미반>푸드 간편식>안주/반찬,3294,1514,3938.0,2025-03-01,2025-05-31
013643,치킨마요덮밥,미반>도시락>기타,3063,1182,3921.0,2025-03-01,2025-05-31
108851,현대)맛장우도시락 올데이뷔페,미반>도시락>도시락,3204,1227,3842.0,2025-03-01,2025-05-31
140526,CJ)햇반미역국밥(컵반),가공식품>가공미반류>즉석컵밥,2942,1337,3834.0,2025-03-01,2025-05-31
107053,롯데)맛장우삼각더커진참치마요,미반>삼각김밥>기타주먹밥(더커진삼각),2827,937,3820.5,2025-03-01,2025-05-31
125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품>음반>CD,2773,1178,3754.0,2025-05-01,2025-05-30
106826,롯데)킹장우듬뿍참치김밥,미반>김밥>말이김밥,2910,961,3709.0,2025-03-01,2025-05-31
132142,농심)신라면120g,면>봉지면>라면,2842,592,3707.0,2025-03-01,2025-05-30
124372,현대)제일맛집도시락,미반>도시락>도시락,3043,1097,3681.0,2025-03-01,2025-05-31
109009,PB)피스타치오마카다미아봉봉50g,과자>초콜릿>볼초콜릿,2850,1219,3655.0,2025-03-01,2025-05-31
125161,최강록의진심)지파이,즉석 식품>즉석치킨(삭제예정)>조각류_삭제예정,3387,2256,3655.0,2025-04-26,2025-05-31
113156,그린)11겹등심돈까스,미반>도시락>도시락,3118,1227,3654.0,2025-03-01,2025-05-31
150954,해태)부라보바닐라160ml,아이스크림>노벨티>콘,2455,680,3580.0,2025-03-16,2025-05-31
109583,신동엽)블랙서클하이볼레몬350ml캔,양주와인>하이볼>수입하이볼,3079,1652,3574.0,2025-03-01,2025-05-31
123307,PB)착한콘칩65g,과자>스낵류>옥수수스낵,2599,771,3569.0,2025-04-05,2025-05-31
071778,마루카네)감동란2입,냉장>냉장간식>삶은계란,2461,793,3556.0,2025-03-02,2025-05-31
124254,맥캘란 18년 셰리오크,양주와인>양주>위스키,3071,709,3529.0,2025-03-17,2025-05-31
105729,11겹등심돈까스,미반>도시락>기타,2799,1131,3522.0,2025-03-01,2025-05-31
132457,삼양)까르보불닭볶음면(큰컵),면>용기면>비빔/볶음면,2382,831,3472.0,2025-03-01,2025-05-31
124159,리얼소프트햄샌드,조리빵>샌드위치>기타 ,2796,1210,3425.0,2025-03-01,2025-04-29
014215,그린)NEW참치김치볶음밥삼각,미반>삼각김밥>삼각김밥,2546,850,3419.0,2025-03-01,2025-05-31
201428,칠성)칠성사이다355ml,음료>탄산음료>사이다(소),2359,886,3414.5,2025-03-01,2025-05-31
124135,해태)구운버터옥수수60g,과자>스낵류>옥수수스낵,2580,1023,3409.5,2025-03-28,2025-05-31
124670,SF9화보매거진기획set,과자>젤리류>수입젤리,2380,505,3405.0,2025-03-07,2025-04-09
112127,롯데)치토스매콤한맛82g,과자>스낵류>옥수수스낵,2460,885,3377.0,2025-03-01,2025-05-31
191660,아영)오이스터베이쇼비뇽블랑750,양주와인>와인>화이트,2613,825,3364.5,2025-03-27,2025-05-31
124224,요이치 싱글몰트,양주와인>양주>위스키,2684,1224,3359.0,2025-03-04,2025-05-29
105367,3월 세븐카페 반값구독,,2723,1729,3346.0,2025-03-01,2025-04-09
601329, 7P)랑그드샤초코70g,과자>비스킷류>쿠키,2681,1070,3325.0,2025-03-01,2025-05-31
111545,해태)크림웨하스50g,과자>비스킷류>크래커,2335,793,3302.0,2025-03-04,2025-05-31
123059,어메이징딸기샌드,조리빵>샌드위치>기타 ,2442,1003,3273.0,2025-03-01,2025-05-16
124040,해태)연양갱땅콩맛55g,과자>캔디류>소프트캔디,2292,666,3271.5,2025-04-04,2025-05-31
150487,하겐)컵벨지안쵸코렛,아이스크림>고급>컵,2067,743,3265.0,2025-03-05,2025-05-31
106875,킹장우듬뿍참치김밥,미반>김밥>말이김밥,2457,862,3237.0,2025-03-01,2025-05-31
123443,스크램블&불고기덮밥,미반>도시락>기타,2504,996,3225.5,2025-03-01,2025-05-04
107542,PB)k리그허니황치즈감자칩60g,과자>스낵류>감자스낵,2662,1434,3224.5,2025-03-01,2025-05-30
125444,히밥)럭히밥울트라면볶이(4인분),면>용기면>라면(대형컵),2704,868,3218.0,2025-04-29,2025-05-31
107512,KBO)야구카드바인더북,문구/완구>일반완구>일반완구,2466,941,3211.5,2025-05-23,2025-05-31
108632,뚠뚠햄치즈&포테이토샌드,조리빵>샌드위치>샌드위치,2481,804,3206.0,2025-03-01,2025-05-31
125416,자이언츠)마!비어라500ml캔,맥주>국산맥주>캔맥주(중),2729,1187,3197.5,2025-04-29,2025-05-31
124446,제일맛집도시락,미반>도시락>기타,2584,1143,3159.5,2025-03-07,2025-05-31
105995,PB)밀크초코콘170ml,아이스크림>노벨티>콘,2445,1138,3153.5,2025-03-01,2025-05-31
109166,PB)생생감자칩페퍼솔트60g,과자>스낵류>감자스낵,2429,1305,3144.5,2025-03-01,2025-05-30
123744,기본김밥,미반>김밥>말이김밥,2459,742,3139.5,2025-03-01,2025-05-31
108364,우진)루첸테 750ml,양주와인>와인>레드,2752,894,3048.0,2025-03-01,2025-05-31
