keyword,tag,grade,include,빈도,purity,woe,단독성공률,delta,delta_cond,delta_pos,판정,suggested,예시제품,raw성공률,wilson,발표등급
강정,neutral,,Y,25,0.215384404260948,-0.1083539365875325,,,,,,,,0.2,0.089,
개장,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
거봉,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
거북알,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
거인,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
건강,neutral,,Y,110,0.1916745048733166,-0.057679653840491,,,,,,,,0.264,0.19,
건더기,neutral,,Y,3,0.6666734715304813,1.8577556735124792,,,,,,,,0.667,0.208,
건어물,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
건조,neutral,,Y,4,0.2132374322425116,-0.282307178888048,,,,,,,,0.25,0.046,
걸그룹,neutral,,Y,0,0.1333320898314548,-0.7071902947447314,,,,,,,,,,
걸쭉함,neutral,,Y,1,0.1111099319532414,-0.1083539365875325,,,,,,,,0.0,0.0,
게,neutral,T1,Y,10,0.7000021141022522,0.9822897737182434,0.4,-0.0427,,,가짜(강등),강등검토(Δ≤0),그린)게맛있는샌드(성공) / 한입)게맛살깡와사비맛30g(실패) / 대림)스노우크랩킹버터갈릭140g (성공),0.4,0.168,강등
게임,neutral,,Y,0,0.3633302934530503,0.6827735877290927,,,,,,,,,,
게장,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
게티,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
겟네츄럴,neutral,,Y,4,0.0,-13.857375721062512,,,,,,,,0.0,0.0,
겨울,neutral,,Y,49,0.3401343708820351,0.5537026015223866,,,,,,,,0.347,0.229,
겨자,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
격투기,neutral,,Y,0,0.3333323101202342,0.4714638288865332,,,,,,,,,,
견과류,neutral,,Y,46,0.207037942356748,-0.1645242067463516,,,,,,,,0.152,0.076,
경기장,neutral,,Y,3,1.0,14.734304819056469,,,,,,,,1.0,0.438,
경량,neutral,,Y,0,0.0,-13.857375721062512,,,,,,,,,,
경주,매개,T1,Y,5,0.3000023744999832,0.3173137210582226,0.2,0.0472,,1.0,매개,,경주)경주법주쌀막걸리750ml(실패) / 경주빵(실패) / 에이스)경주빵32g(성공),0.2,0.036,
경찰,neutral,,Y,0,0.1666665698091174,-0.4448257521891666,,,,,,,,,,
계란,neutral,,Y,127,0.2777392245362074,0.3137488020555332,,,,,,,,0.339,0.262,
고구마,매개,T2,Y,48,0.3003579515623145,0.3359190424739213,0.438,0.0272,,1.0,매개,,KBO)키움히어로즈자색고구마팡100g(성공) / 플레이브군고구마츄세트(성공) / 군고구마(실패),0.438,0.307,
고급,neutral,,Y,8,0.2067292722506108,0.1530108063975584,,,,,,,,0.125,0.022,
고기,neutral,,Y,416,0.3857056059417838,-0.1822800809952459,,,,,,,,0.212,0.175,
고단백,neutral,,Y,7,0.0,-14.416991097998244,,,,,,,,0.0,0.0,
고래밥,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
고랭,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
고량주,neutral,,Y,5,0.0,-14.080519080576888,,,,,,,,0.0,-0.0,
고로케,neutral,,Y,8,0.2291671636824732,-0.339465494053229,,,,,,,,0.125,0.022,
고르곤졸라,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
고메,neutral,,Y,4,0.0,-13.857375721062512,,,,,,,,0.0,0.0,
고사리,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
고소,killer,T2,Y,563,0.3851386439645294,0.1898851312330098,0.393,0.0307,,,killer_확실,유지,PB)K리그슛!소보로빵75g(성공) / PB)K리그슛!허니카라멜팝콘75g(성공) / TXT별모아쿠키별(성공),0.393,0.353,보통증거
고수,neutral,,Y,3,0.6666697263717651,1.1646104109470157,,,,,,,,0.333,0.061,
고양이,mine,T1,Y,3,0.0749919097870588,-0.7325080472405869,0.0,-0.0719,,,진짜 악재(Δ<0),,★토이페페(실패) / 치즈냥이빵(실패) / GS25냥냥팡요거트맛(실패),0.0,0.0,
고창,killer,T1,Y,5,0.8000001430511496,2.550902554822559,0.8,0.1059,,,killer_확실,유지,롯데)빈츠고창꿀고구마102g(성공) / 롯데)카스타드고창꿀고구마210g(성공) / 롯데)찰떡파이고창꿀고구마250g(성공),0.8,0.376,강증거
고추,매개,T1,Y,73,0.2756710627627226,0.1285197937839955,0.301,0.0585,,1.0,매개,,장충동미니불족발(성공) / 화끈소고기고추장삼각김밥(성공) / 이정후)고기폭탄홈런비빔밥(성공),0.301,0.208,
고칸,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
고흥,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
곡물,neutral,,Y,34,0.3190102364763355,0.3886115347571449,,,,,,,,0.324,0.191,
곤약,매개,T2,Y,11,0.1818149563940607,-0.339465494053229,0.182,0.0374,,1.0,매개,,위스트)마라곤약 향라맛(실패) / 삼립)초계겨자곤약면샐러드132g(성공) / 위스트)마라곤약 마라맛(실패),0.182,0.051,
곤충,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
골드,매개,T2,Y,28,0.2142864215587024,-0.1346712285485462,0.214,0.0055,,0.83,매개,,프로엠)골드바 빼빼로8입(실패) / APP전용)스리라차골드후라이드치킨버거(실패) / 하리보)골드배렌펀에디션80g(성공),0.214,0.102,
골뱅이,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
곰,neutral,,Y,17,0.2685460934791292,0.391421794423418,,,,,,,,0.059,0.01,
곰돌이,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
곱빼기,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
곱창,neutral,,Y,7,0.0,-14.416991097998244,,,,,,,,0.0,0.0,
공감,neutral,,Y,0,0.0909073224121478,-1.1379725491493329,,,,,,,,,,
공룡,killer,T1,Y,3,0.9210510846031628,2.899211577579375,1.0,-0.0137,0.0812,,조건부killer(IP),유지,"픽셀리)공룡메론소보로(성공) / 픽셀리후르츠젤리(공룡,잠뜰,수현)(성공) / KBO)NC다이노스공룡알흑임자컵케익130g(성공)",1.0,0.438,조건부(IP)
공부,neutral,,Y,2,0.2857100814582013,1.2981427246950177,,,,,,,,0.0,0.0,
공원,neutral,,Y,0,,0.0,,,,,,,,,,
공주,neutral,,Y,1,0.6999997371807748,0.8544566552263911,,,,,,,,1.0,0.207,
과일,neutral,,Y,203,0.2985346967460723,0.0838715660374519,,,,,,,,0.202,0.153,
과자,killer,T2,Y,355,0.3711791526976135,0.3687080920929085,0.318,0.0064,,,killer_불명확(노이즈),유지,가나디초코별(성공) / 가나디바나링(성공) / 픽셀리꿀단지스낵(성공),0.318,0.272,보류
과즙,neutral,,Y,9,0.2222231941090762,-0.0881511875500412,,,,,,,,0.222,0.063,
관람,neutral,,Y,5,1.0,15.24513028322251,,,,,,,,1.0,0.566,
관리,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
광복절,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
광천,neutral,,Y,3,0.6666602392989468,1.8577556735124792,,,,,,,,0.667,0.208,
교자,neutral,,Y,19,0.2105274451406126,-0.1571440660203094,,,,,,,,0.211,0.085,
구기자,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
구름,neutral,,Y,3,0.1666673521200611,-0.4448257521891666,,,,,,,,0.333,0.061,
구수함,neutral,,Y,34,0.3180927569643684,0.5131149890013248,,,,,,,,0.294,0.168,
구슬,neutral,,Y,14,0.07142867520451,-1.400336725093777,,,,,,,,0.071,0.013,
구움,neutral,,Y,10,0.4000058010221392,0.7591462822540175,,,,,,,,0.4,0.168,
구이,neutral,,Y,23,0.0434786429547859,-1.9264297002772977,,,,,,,,0.043,0.008,
국,neutral,,Y,66,0.3257566317069154,-0.4936163072970689,,,,,,,,0.106,0.052,
국내산,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
국물,매개,T2,Y,108,0.2668145874317399,0.0980387938556778,0.222,0.0216,,1.0,매개,,이스타)도쿠시마라면큰컵(성공) / PB)이봉원의봉짬뽕224g(성공) / PB)박은영셰프의유산슬탕면큰컵(성공),0.222,0.154,
국밥,neutral,,Y,13,0.1538503725942307,-0.5401361120204607,,,,,,,,0.154,0.043,
국산,매개,T2,Y,25,0.1599987983704061,-0.4936162295748716,0.16,0.0302,,1.0,매개,,정성가득불백한상(실패) / HEYROO국산닭꼬치(실패) / PB)한돈햄200g(성공),0.16,0.064,
국수,neutral,,Y,27,0.1851916077926442,-0.444826110355423,,,,,,,,0.148,0.059,
굴,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
굿즈,neutral,T2,Y,3,0.4077713415689418,0.9475471679192836,0.333,-0.0231,-0.0002,,가짜(강등),강등검토(Δ≤0),PB)자이언츠월드콘160ml(성공) / 킨더조이해리포터퀴디치(실패) / 헬리녹스부대찌개(실패),0.333,0.061,강등
귀리,neutral,,Y,6,0.2222146304944302,0.153010769289619,,,,,,,,0.0,0.0,
귀여움,neutral,,Y,0,0.3411669530143509,0.5065558606219679,,,,,,,,,,
규동,neutral,,Y,4,0.2916674495984994,0.0659994009439379,,,,,,,,0.25,0.046,
귤,neutral,,Y,7,0.1428590693643827,-0.6271471811165447,,,,,,,,0.143,0.026,
그라인더,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
그라탕,neutral,,Y,8,0.0,-14.550522422122803,,,,,,,,0.0,0.0,
그래놀라,neutral,,Y,9,0.4444553421600061,0.9414677111813954,,,,,,,,0.444,0.189,
그랜드,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
그레이프,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
그레인,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
그릭,neutral,,Y,19,0.1315813357696632,0.1349922786642064,,,,,,,,0.263,0.118,
그린,neutral,,Y,8,0.1250019911675755,-0.7812977696105239,,,,,,,,0.125,0.022,
그린티,neutral,,Y,3,0.6666747132934715,1.8577556735124792,,,,,,,,0.667,0.208,
그릴,neutral,,Y,9,0.1111140731309078,-0.9148290937350816,,,,,,,,0.111,0.02,
그릴리,neutral,T2,Y,5,0.6000048220157623,1.5700753195552797,0.6,-0.0539,,,가짜(강등),강등검토(Δ≤0),동원)그릴리직화닭꼬치데리야끼75g(성공) / 총동원)그릴리직화소시지김밥(성공) / APP예약)그릴리직화후랑크&제육도시락(실패),0.6,0.231,강등
글레이즈드,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
글렌버기,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
글렌터렛,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
글렌피딕,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
글로리,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
글루텐프리,neutral,,Y,4,0.2500052489341087,0.0659993601106803,,,,,,,,0.25,0.046,
글리치,neutral,,Y,0,0.4117571168090631,0.8079365739066823,,,,,,,,,,
금귤,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
금산,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
급식,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
기네스,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
기념일,neutral,,Y,23,0.0869591517942575,-1.1867631108849512,,,,,,,,0.087,0.024,
기념품,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
기정떡,neutral,,Y,2,1.0,14.328839910448204,,,,,,,,1.0,0.342,
긴장감,neutral,,Y,0,0.0,-14.262840509504269,,,,,,,,,,
긴죠,neutral,,Y,6,0.0,-14.262840509504269,,,,,,,,0.0,0.0,
길리안,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
김,mine,T1,Y,24,0.1249985517933856,-0.0393610661805818,0.25,0.0214,,,통계만(의심),,PB)제트콘김와사비맛90g(실패) / 동서)리츠바삭김73g(실패) / 농심)클레오파트라솔트앤김50g(성공),0.25,0.12,
김밥,neutral,,Y,223,0.2289385778898785,0.4168604095334434,,,,,,,,0.318,0.261,
김장,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
김치,neutral,,Y,90,0.1388910606554397,0.0140397021695729,,,,,,,,0.278,0.196,
깊은맛,neutral,,Y,9,0.3352196632220831,-0.5266327767414827,,,,,,,,0.222,0.063,
깊음,neutral,,Y,0,0.0,-13.569693968277042,,,,,,,,,,
까눌레,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
까르미네르,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
까르보나라,neutral,,Y,14,0.2857189401984215,0.2483209142212294,,,,,,,,0.286,0.117,
까망베르,neutral,,Y,2,1.0,14.328839910448204,,,,,,,,1.0,0.342,
까먹는,neutral,,Y,2,0.5000047385689772,1.1646090914519966,,,,,,,,0.5,0.095,
까버네,neutral,,Y,23,0.0869581391629784,-1.1867631108849512,,,,,,,,0.087,0.024,
까쇼,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
까스,neutral,,Y,3,0.3333463867501501,0.4714638288865332,,,,,,,,0.333,0.061,
깍두기,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
깐부,neutral,,Y,3,0.3333348035812378,0.4714638288865332,,,,,,,,0.333,0.061,
깐풍기,neutral,,Y,4,0.5000010132789612,1.1646104109470157,,,,,,,,0.5,0.15,
깔끔,neutral,,Y,58,0.2466222415217297,-0.693358956618011,,,,,,,,0.397,0.281,
깔라만시,neutral,,Y,3,0.6666712562241776,1.8577556735124792,,,,,,,,0.667,0.208,
깜자,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
깡,neutral,,Y,4,0.2500001266598739,0.0659993601106803,,,,,,,,0.25,0.046,
깨,neutral,,Y,6,0.0,-14.262840509504269,,,,,,,,0.0,0.0,
깻잎,neutral,,Y,3,0.0,-13.569693968277042,,,,,,,,0.0,0.0,
껌,neutral,,Y,5,0.4000025331973652,0.7591459421711628,,,,,,,,0.4,0.118,
껍데기,neutral,,Y,5,0.1999997943639755,-0.2216823926747915,,,,,,,,0.2,0.036,
껍질,neutral,,Y,4,0.2500003930181118,0.3173137210582226,,,,,,,,0.0,0.0,
꼬깔,neutral,,Y,3,0.3333302140235901,0.4714638288865332,,,,,,,,0.333,0.061,
꼬깔콘,neutral,,Y,3,1.0,14.734304819056469,,,,,,,,1.0,0.438,
꼬들함,neutral,,Y,4,0.2499992996454239,0.0659993601106803,,,,,,,,0.25,0.046,
꼬리,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
꼬막,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
꼬북칩,neutral,,Y,5,0.3999982833862049,0.7591459421711628,,,,,,,,0.4,0.118,
꼬치,neutral,,Y,27,0.27777913688786,-0.02497233221109,,,,,,,,0.222,0.106,
꼰대,neutral,,Y,0,0.0,-13.569693968277042,,,,,,,,,,
꽁치,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
꽃,mine,T1,Y,5,0.1312547028064727,-1.0866796715560352,0.2,-0.0575,,,진짜 악재(Δ<0),,피크민꽃모양스낵밀크맛(성공) / PB)꽃모양얼음컵(실패) / 고운벗)꽃새우쌀과자100g(실패),0.2,0.036,
꽈리,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
꽈배기,neutral,,Y,12,0.083332922930534,-1.2332826940809432,,,,,,,,0.083,0.015,
꾸덕함,매개,T2,Y,37,0.327437318573008,0.2032005425441267,0.27,0.0259,,1.0,매개,,초코무스쫀덕케(성공) / 농심)신라면툼바봉지(실패) / 연세우유황치즈맘모스(성공),0.27,0.154,
꾸이맨,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
꿀,매개,T2,Y,60,0.2961820402793944,0.2721316362539344,0.4,0.0328,,1.0,매개,,KBO)두산베어스곰발바닥꿀빵95g(성공) / PB)K리그슛!꿀호떡빵97g(실패) / G)컨트리맘꿀고구마맛12입(성공),0.4,0.286,
꿀고구마,neutral,,Y,2,1.0,14.328839910448204,,,,,,,,1.0,0.342,
꿀단지,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
꿀떡,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
꿀밤,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
꿀빵,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
꿔바로우,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
끌레도르,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
나가사키,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
나들이,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
나물,neutral,,Y,11,0.2576180294284237,0.0406816332468023,,,,,,,,0.273,0.097,
나시고랭,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
나쵸,neutral,,Y,6,0.3333367755016204,0.471464189385691,,,,,,,,0.333,0.097,
나폴리맛피아,neutral,,Y,0,0.2999906688928604,0.3173137210582226,,,,,,,,,,
나폴리탄,neutral,,Y,1,0.6499953035265558,0.6049956937600385,,,,,,,,1.0,0.207,
낙지,neutral,,Y,2,0.0,-13.164229499501188,,,,,,,,0.0,0.0,
난,neutral,,Y,3,0.6666715741157532,1.8577556735124792,,,,,,,,0.667,0.208,
난반,neutral,,Y,2,1.0,14.328839910448204,,,,,,,,1.0,0.342,
날치알,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
남도,neutral,,Y,2,0.7045472376048565,2.869358013503796,,,,,,,,0.5,0.095,
남부,neutral,,Y,1,0.0,-12.471084236935726,,,,,,,,0.0,0.0,
남양,neutral,,Y,4,0.0,-13.857375721062512,,,,,,,,0.0,0.0,
남자,neutral,,Y,1,1.0,13.635693328387722,,,,,,,,1.0,0.207,
납작,neutral,,Y,14,0.4285770856907125,0.8769293779936699,,,,,,,,0.429,0.214,
내구성,neutral,,Y,0,0.0,-13.857375721062512,,,,,,,,,,
내야수,neutral,,Y,0,0.6128996127560327,1.6241439742682455,,,,,,,,,,
냉동,neutral,,Y,6,0.0,-14.262840509504269,,,,,,,,0.0,0.0,
냉면,neutral,,Y,14,0.2142910574165301,-0.1346712034121968,,,,,,,,0.214,0.076,
냉우동,neutral,,Y,0,0.0,-12.471084236935726,,,,,,,,,,
