event_date,mapped_pos_item_code,mapped_item_name,category_l,category_m,match_type,match_score,inventory_search_count,inventory_search_users,representative_search_string
2025-03-25,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,55,40,유부
2025-03-26,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,46,38,유부
2025-03-27,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,41,31,유부
2025-03-28,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,55,44,유부
2025-03-29,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,21,20,유부
2025-03-30,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,30,24,유부
2025-03-31,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,36,30,유부
2025-04-01,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,36,33,유부
2025-04-02,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,22,19,유부
2025-04-03,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,12,11,유부
2025-04-04,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,17,14,유부
2025-04-05,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,7,유부
2025-04-06,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,11,11,유부
2025-04-07,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,7,유부
2025-04-08,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,15,14,유부
2025-04-09,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,17,15,유부
2025-04-10,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,13,12,유부
2025-04-11,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,15,11,유부
2025-04-12,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,4,4,유부
2025-04-13,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,14,13,유부
2025-04-14,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,7,유부
2025-04-15,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,17,15,유부
2025-04-16,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,11,10,유부
2025-04-17,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,9,8,유부
2025-04-18,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,10,8,유부
2025-04-19,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,2,2,유부
2025-04-20,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,4,유부
2025-04-21,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-04-22,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,5,유부
2025-04-23,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,4,4,유부
2025-04-24,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-04-25,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,4,유부
2025-04-26,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-04-27,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,11,8,유부
2025-04-28,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,9,7,유부
2025-04-29,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,2,2,유부
2025-04-30,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,14,11,유부
2025-05-01,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,6,유부
2025-05-02,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,16,11,유부
2025-05-03,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,6,유부
2025-05-04,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,6,유부
2025-05-05,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-05-06,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,4,3,유부
2025-05-07,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,6,유부
2025-05-08,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,16,9,유부
2025-05-09,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,8,6,유부
2025-05-10,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,15,11,유부
2025-05-11,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,10,9,유부
2025-05-12,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-05-13,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,7,유부
2025-05-14,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,4,1,유부
2025-05-15,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,5,유부
2025-05-16,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,3,2,유부
2025-05-17,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-05-19,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,9,8,유부
2025-05-20,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,8,7,유부
2025-05-21,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,3,3,유부
2025-05-22,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,9,6,유부
2025-05-23,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,5,5,유부
2025-05-24,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,6,5,유부
2025-05-25,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,8,6,유부
2025-05-26,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,9,8,유부
2025-05-27,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,2,2,유부
2025-05-28,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,3,3,유부
2025-05-29,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,8,8,유부
2025-05-30,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,7,7,유부
2025-05-31,013831,유부초밥&크림치즈롤,미반,김밥,item_startswith_search,90,4,4,유부
2025-03-04,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,16,12,참치마요네즈
2025-03-05,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,24,14,참치마요네즈
2025-03-06,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,21,13,참치마요네즈
2025-03-07,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,9,7,참치마요네즈
2025-03-08,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,6,5,참치마요네즈
2025-03-09,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,7,4,참치마요네즈
2025-03-10,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,4,4,참치마요네즈
2025-03-12,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,2,2,참치마요네즈
2025-03-13,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-03-15,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,3,2,참치마요네즈
2025-03-17,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-03-23,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,2,2,참치마요네즈
2025-03-27,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,3,2,참치마요네즈
2025-03-28,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-03-31,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,5,3,참치마요네즈
2025-04-01,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-03,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,4,2,참치마요네즈
2025-04-05,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-07,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,3,3,참치마요네즈
2025-04-08,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,2,2,참치마요네즈
2025-04-10,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-11,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-14,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-17,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-18,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-25,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,2,1,참치마요네즈
2025-04-27,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,2,2,참치마요네즈
2025-04-28,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-04-30,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,3,2,참치마요네즈
2025-05-01,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-03,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-07,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,26,17,참치마요네즈
2025-05-08,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,21,16,참치마요네즈
2025-05-09,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,38,25,참치마요네즈
2025-05-10,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,27,19,참치마요네즈
2025-05-11,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,36,21,참치마요네즈
2025-05-12,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,36,22,참치마요네즈
2025-05-13,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,90,37,참치마요네즈
2025-05-14,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,6,5,참치마요네즈
2025-05-17,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-18,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-19,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-23,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-24,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-25,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-26,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-29,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-05-31,014071,그린)NEW햄참치마요네즈삼각,미반,삼각김밥,search_in_item,80,1,1,참치마요네즈
2025-03-01,014339,참치김밥,미반,김밥,item_startswith_search,90,6,4,참치
2025-03-02,014339,참치김밥,미반,김밥,item_startswith_search,90,5,3,참치
2025-03-03,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-04,014339,참치김밥,미반,김밥,item_startswith_search,90,10,9,참치
2025-03-05,014339,참치김밥,미반,김밥,item_startswith_search,90,10,8,참치
2025-03-06,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-03-07,014339,참치김밥,미반,김밥,item_startswith_search,90,4,4,참치
2025-03-08,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-03-09,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-10,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-11,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-03-14,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-03-15,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-03-16,014339,참치김밥,미반,김밥,item_startswith_search,90,3,2,참치
2025-03-18,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-19,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-03-20,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-03-22,014339,참치김밥,미반,김밥,item_startswith_search,90,5,4,참치
2025-03-23,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-03-24,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-25,014339,참치김밥,미반,김밥,item_startswith_search,90,9,3,참치
2025-03-26,014339,참치김밥,미반,김밥,item_startswith_search,90,8,3,참치
2025-03-27,014339,참치김밥,미반,김밥,item_startswith_search,90,3,2,참치
2025-03-31,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-04-03,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-04-04,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-04-06,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-04-07,014339,참치김밥,미반,김밥,item_startswith_search,90,9,5,참치
2025-04-08,014339,참치김밥,미반,김밥,item_startswith_search,90,2,1,참치
2025-04-09,014339,참치김밥,미반,김밥,item_startswith_search,90,8,4,참치
2025-04-10,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-04-11,014339,참치김밥,미반,김밥,item_startswith_search,90,7,6,참치
2025-04-12,014339,참치김밥,미반,김밥,item_startswith_search,90,5,5,참치
2025-04-13,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-04-14,014339,참치김밥,미반,김밥,item_startswith_search,90,6,5,참치
2025-04-15,014339,참치김밥,미반,김밥,item_startswith_search,90,4,2,참치
2025-04-16,014339,참치김밥,미반,김밥,item_startswith_search,90,6,3,참치
2025-04-17,014339,참치김밥,미반,김밥,item_startswith_search,90,3,2,참치
2025-04-18,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-04-19,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-04-20,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-04-21,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-04-22,014339,참치김밥,미반,김밥,item_startswith_search,90,3,1,참치
2025-04-23,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-04-24,014339,참치김밥,미반,김밥,item_startswith_search,90,5,3,참치
2025-04-25,014339,참치김밥,미반,김밥,item_startswith_search,90,6,5,참치
2025-04-26,014339,참치김밥,미반,김밥,item_startswith_search,90,4,4,참치
2025-04-27,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-04-28,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-04-29,014339,참치김밥,미반,김밥,item_startswith_search,90,7,3,참치
2025-04-30,014339,참치김밥,미반,김밥,item_startswith_search,90,10,6,참치
2025-05-01,014339,참치김밥,미반,김밥,item_startswith_search,90,8,2,참치
2025-05-02,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-05-03,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-04,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-05-05,014339,참치김밥,미반,김밥,item_startswith_search,90,6,4,참치
2025-05-06,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-05-07,014339,참치김밥,미반,김밥,item_startswith_search,90,5,3,참치
2025-05-08,014339,참치김밥,미반,김밥,item_startswith_search,90,7,6,참치
2025-05-09,014339,참치김밥,미반,김밥,item_startswith_search,90,9,4,참치
2025-05-10,014339,참치김밥,미반,김밥,item_startswith_search,90,5,4,참치
2025-05-11,014339,참치김밥,미반,김밥,item_startswith_search,90,8,8,참치
2025-05-12,014339,참치김밥,미반,김밥,item_startswith_search,90,7,5,참치
2025-05-13,014339,참치김밥,미반,김밥,item_startswith_search,90,4,3,참치
2025-05-14,014339,참치김밥,미반,김밥,item_startswith_search,90,8,6,참치
2025-05-16,014339,참치김밥,미반,김밥,item_startswith_search,90,4,4,참치
2025-05-17,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-18,014339,참치김밥,미반,김밥,item_startswith_search,90,6,6,참치
2025-05-19,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-20,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-05-21,014339,참치김밥,미반,김밥,item_startswith_search,90,5,4,참치
2025-05-22,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-23,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-05-24,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-25,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-05-26,014339,참치김밥,미반,김밥,item_startswith_search,90,3,3,참치
2025-05-27,014339,참치김밥,미반,김밥,item_startswith_search,90,3,2,참치
2025-05-28,014339,참치김밥,미반,김밥,item_startswith_search,90,1,1,참치
2025-05-29,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-05-30,014339,참치김밥,미반,김밥,item_startswith_search,90,2,2,참치
2025-03-01,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,4,3,맛장우전주식비빔밥
2025-03-02,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,3,2,맛장우전주식비빔밥
2025-03-03,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,3,2,맛장우전주식비빔밥
2025-03-04,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,7,4,맛장우전주식비빔밥
2025-03-05,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,2,2,맛장우전주식비빔밥
2025-03-06,014387,맛장우전주식비빔밥,미반,도시락,exact_norm,100,2,2,맛장우전주식비빔밥
