inventory_search_string,search_string_norm,search_count,unique_users,first_search_date,last_search_date
저당,저당,831,304,2025-03-02,2025-05-31
오이스터,오이스터,824,357,2025-03-03,2025-05-31
드럼스틱,드럼스틱,808,424,2025-03-06,2025-05-31
포켓몬,포켓몬,802,459,2025-03-01,2025-05-31
이스까이,이스까이,797,356,2025-03-01,2025-05-31
샤또꾸떼,샤또꾸떼,794,162,2025-04-08,2025-05-31
냐냐,냐냐,793,258,2025-04-05,2025-05-31
배비치블랙,배비치블랙,790,303,2025-03-04,2025-05-31
쇼비뇽블랑,쇼비뇽블랑,784,371,2025-03-01,2025-05-31
파이퍼하이직,파이퍼하이직,780,344,2025-03-01,2025-05-31
딸보,딸보,777,371,2025-03-01,2025-05-31
초코,초코,768,566,2025-03-01,2025-05-31
샴페인,샴페인,765,531,2025-03-01,2025-05-31
샤스,샤스,752,258,2025-03-14,2025-05-31
단팥빵,단팥빵,747,144,2025-03-18,2025-05-31
하겐다즈,하겐다즈,725,397,2025-03-01,2025-05-31
발베니,발베니,712,443,2025-03-01,2025-05-31
미쓰이,미쓰이,709,303,2025-03-01,2025-05-31
까까맛교통카드,까까맛교통카드,707,569,2025-03-26,2025-05-26
저지푸딩,저지푸딩,697,278,2025-03-01,2025-05-31
러시안잭,러시안잭,688,303,2025-03-01,2025-05-31
맥캘란,맥캘란,686,351,2025-03-01,2025-05-31
삼성,삼성,670,288,2025-03-15,2025-05-31
치킨,치킨,641,414,2025-03-01,2025-05-31
서울우유,서울우유,625,241,2025-03-01,2025-05-31
레볼테,레볼테,620,380,2025-03-01,2025-05-28
죽산,죽산,619,225,2025-03-01,2025-05-31
전주식비빔밥,전주식비빔밥,617,113,2025-03-01,2025-05-31
설화병,설화병,610,192,2025-03-11,2025-05-31
2025,2025,606,83,2025-03-03,2025-05-31
바나나,바나나,605,368,2025-03-01,2025-05-31
맵탱,맵탱,604,279,2025-03-01,2025-05-31
이장우,이장우,600,296,2025-03-01,2025-05-31
맛장우도시락,맛장우도시락,600,256,2025-03-01,2025-05-31
스트롱,스트롱,595,275,2025-03-01,2025-05-31
이봉원,이봉원,578,412,2025-04-14,2025-05-31
죽산막걸리,죽산막걸리,577,238,2025-03-01,2025-05-31
초콜릿,초콜릿,576,400,2025-03-01,2025-05-31
올리비에,올리비에,575,218,2025-03-01,2025-05-31
앙리,앙리,568,413,2025-03-01,2025-05-31
우유푸딩,우유푸딩,567,157,2025-03-01,2025-05-31
전남친,전남친,555,277,2025-04-26,2025-05-31
환타,환타,554,319,2025-03-03,2025-05-31
자가비,자가비,554,253,2025-03-02,2025-05-31
릴 하이브리드,릴하이브리드,549,261,2025-03-01,2025-05-31
생맥주,생맥주,537,448,2025-03-01,2025-05-31
크림빵,크림빵,533,216,2025-03-01,2025-05-31
아이스크림,아이스크림,532,460,2025-03-01,2025-05-31
저지,저지,529,231,2025-03-01,2025-05-31
치즈,치즈,528,363,2025-03-01,2025-05-31
프로야구,프로야구,526,225,2025-03-14,2025-05-31
앙드레,앙드레,520,231,2025-03-01,2025-05-31
딸기,딸기,520,248,2025-03-01,2025-05-31
안티노리,안티노리,511,232,2025-03-01,2025-05-30
빌라,빌라,510,164,2025-03-01,2025-05-29
히밥,히밥,508,235,2025-03-02,2025-05-31
크보,크보,502,266,2025-03-14,2025-05-31
생초콜릿,생초콜릿,500,298,2025-03-01,2025-05-31
캇예스,캇예스,496,257,2025-03-01,2025-05-31
머드하우스,머드하우스,495,215,2025-03-10,2025-05-31
두부,두부,495,317,2025-03-01,2025-05-31
유자,유자,478,227,2025-03-02,2025-05-31
드보뀌베,드보뀌베,477,238,2025-03-21,2025-05-25
빌라안티노리,빌라안티노리,474,215,2025-03-01,2025-05-31
마라,마라,471,275,2025-03-01,2025-05-31
럭히밥,럭히밥,467,190,2025-03-01,2025-05-31
Kbo빵,kbo빵,466,170,2025-03-15,2025-05-29
일그리지오,일그리지오,464,297,2025-03-01,2025-05-28
떡볶이,떡볶이,457,297,2025-03-01,2025-05-31
불닭볶음면,불닭볶음면,457,321,2025-03-01,2025-05-31
샤스스플린,샤스스플린,456,178,2025-03-12,2025-05-31
하리보,하리보,454,292,2025-03-01,2025-05-31
일그리지오 끼안티 클라시코,일그리지오끼안티클라시코,451,247,2025-03-01,2025-04-24
불닭치즈소시지,불닭치즈소시지,450,161,2025-03-01,2025-05-31
대파,대파,449,218,2025-03-01,2025-05-31
산토리,산토리,443,279,2025-03-01,2025-05-31
선양,선양,441,348,2025-03-01,2025-05-31
메론,메론,439,303,2025-03-06,2025-05-31
k리그,k리그,434,114,2025-03-01,2025-05-31
배틀파트너즈,배틀파트너즈,431,23,2025-03-21,2025-05-31
짜파게티,짜파게티,429,335,2025-03-01,2025-05-30
하쿠슈,하쿠슈,428,256,2025-03-01,2025-05-28
그란츠,그란츠,420,160,2025-03-01,2025-05-31
꼬북칩,꼬북칩,419,221,2025-03-01,2025-05-31
