event_date,mapped_pos_item_code,pos_sales_qty,pos_sales_amount,pos_receipts
2025-03-01,041426,23,63904,23
2025-03-02,041426,28,77297,30
2025-03-03,041426,11,30800,11
2025-03-04,041426,21,58200,20
2025-03-05,041426,24,67200,24
2025-03-06,041426,25,69250,27
2025-03-07,041426,27,74740,29
2025-03-08,041426,33,92155,34
2025-03-09,041426,26,69953,25
2025-03-10,041426,13,36400,13
2025-03-11,041426,22,61600,24
2025-03-12,041426,33,91770,33
2025-03-13,041426,32,89342,32
2025-03-14,041426,22,60520,22
2025-03-15,041426,28,77360,30
2025-03-16,041426,38,104198,43
2025-03-17,041426,16,44670,16
2025-03-18,041426,23,64200,23
2025-03-19,041426,28,78004,27
2025-03-20,041426,35,96946,34
2025-03-21,041426,18,49560,18
2025-03-22,041426,29,79815,29
2025-03-23,041426,27,75600,27
2025-03-24,041426,15,42000,15
2025-03-25,041426,25,70000,27
2025-03-26,041426,23,62795,23
2025-03-27,041426,30,83600,31
2025-03-28,041426,27,75130,29
2025-03-29,041426,25,70000,25
2025-03-30,041426,23,63380,24
2025-03-31,041426,22,61600,26
2025-04-01,041426,18,49006,20
2025-04-02,041426,32,89312,34
2025-04-03,041426,21,58800,21
2025-04-04,041426,28,77284,31
2025-04-05,041426,22,60742,22
2025-04-06,041426,20,55145,22
2025-04-07,041426,20,54111,22
2025-04-08,041426,15,41190,15
2025-04-09,041426,23,64400,23
2025-04-10,041426,32,89364,33
2025-04-11,041426,26,72800,27
2025-04-12,041426,23,64400,23
2025-04-13,041426,24,66920,24
2025-04-14,041426,14,38661,15
2025-04-15,041426,23,63590,23
2025-04-16,041426,24,66968,27
2025-04-17,041426,18,48565,16
2025-04-18,041426,21,57777,23
2025-04-19,041426,29,80480,28
2025-04-20,041426,21,56744,21
2025-04-21,041426,21,58600,20
2025-04-22,041426,18,50400,19
2025-04-23,041426,33,90783,37
2025-04-24,041426,21,57960,23
2025-04-25,041426,29,78671,29
2025-04-26,041426,26,71936,29
2025-04-27,041426,23,62818,23
2025-04-28,041426,19,53200,26
2025-04-29,041426,22,60104,24
2025-04-30,041426,28,78073,28
2025-05-01,041426,28,78400,30
2025-05-02,041426,36,100800,38
2025-05-03,041426,11,30800,11
2025-05-04,041426,19,52390,19
2025-05-05,041426,14,38166,14
2025-05-06,041426,20,55724,20
2025-05-07,041426,17,47000,17
2025-05-08,041426,27,74291,28
2025-05-09,041426,23,64170,25
2025-05-10,041426,20,55800,21
2025-05-11,041426,24,65598,24
2025-05-12,041426,10,27160,10
2025-05-13,041426,19,52432,19
2025-05-14,041426,30,83656,30
2025-05-15,041426,26,72550,26
2025-05-16,041426,18,50400,18
2025-05-17,041426,32,87720,34
2025-05-18,041426,23,63427,24
2025-05-19,041426,8,22400,10
2025-05-20,041426,21,58050,22
2025-05-21,041426,24,66408,28
2025-05-22,041426,21,58512,23
2025-05-23,041426,20,55150,20
2025-05-24,041426,24,67280,26
2025-05-25,041426,28,77445,30
2025-05-26,041426,16,44092,16
2025-05-27,041426,26,72514,29
2025-05-28,041426,28,76818,30
2025-05-29,041426,21,58541,23
2025-05-30,041426,18,49472,20
2025-05-31,041426,32,88984,31
2025-03-03,053279,0,0,1
2025-03-10,053279,0,0,1
2025-03-12,053279,0,0,1
2025-03-13,053279,0,0,1
2025-03-22,053279,0,0,1
2025-03-26,053279,1,2100,1
2025-04-04,053279,0,0,1
2025-04-11,053279,0,0,1
2025-04-14,053279,0,0,1
2025-04-18,053279,0,0,1
2025-05-23,053279,0,0,1
2025-03-02,061520,1,5750,1
2025-03-03,061520,1,4250,1
2025-03-04,061520,1,5750,1
2025-03-07,061520,2,11500,2
2025-03-08,061520,1,5750,1
2025-03-09,061520,1,5750,1
2025-03-10,061520,3,15750,3
2025-03-13,061520,2,11500,2
2025-03-14,061520,1,5750,1
2025-03-15,061520,1,5750,3
2025-03-17,061520,2,11500,2
2025-03-18,061520,1,5750,1
2025-03-21,061520,1,5750,1
2025-03-22,061520,2,10000,2
2025-03-25,061520,2,11500,2
2025-03-27,061520,1,5750,1
2025-03-29,061520,2,11500,2
2025-03-30,061520,1,5500,1
2025-04-01,061520,1,5750,1
2025-04-05,061520,2,10000,2
2025-04-07,061520,1,5238,2
2025-04-08,061520,1,5750,1
2025-04-10,061520,1,5750,1
2025-04-13,061520,0,0,1
2025-03-01,061660,140,141239,84
2025-03-02,061660,120,117530,74
2025-03-03,061660,146,138040,83
2025-03-04,061660,306,296840,181
2025-03-05,061660,306,297707,179
2025-03-06,061660,326,320564,207
2025-03-07,061660,288,279248,159
2025-03-08,061660,181,181563,112
2025-03-09,061660,142,141005,82
2025-03-10,061660,332,318604,191
2025-03-11,061660,318,305595,181
2025-03-12,061660,297,293159,180
2025-03-13,061660,282,278462,175
2025-03-14,061660,281,283299,175
2025-03-15,061660,165,165045,103
2025-03-16,061660,148,146875,96
2025-03-17,061660,330,319964,189
2025-03-18,061660,323,309569,170
2025-03-19,061660,270,266253,166
2025-03-20,061660,288,286879,173
2025-03-21,061660,324,318147,191
2025-03-22,061660,177,181602,126
2025-03-23,061660,151,152733,97
2025-03-24,061660,328,319345,194
2025-03-25,061660,317,318867,202
2025-03-26,061660,320,311266,192
2025-03-27,061660,295,294106,179
2025-03-28,061660,260,257286,159
2025-03-29,061660,155,158281,102
2025-03-30,061660,164,161899,104
2025-03-31,061660,325,321082,198
2025-04-01,061660,260,262043,171
2025-04-02,061660,294,296464,175
2025-04-03,061660,284,279998,169
2025-04-04,061660,276,275054,170
2025-04-05,061660,176,177780,110
2025-04-06,061660,143,142869,103
2025-04-07,061660,324,315066,184
2025-04-08,061660,321,315662,190
2025-04-09,061660,308,316356,197
2025-04-10,061660,275,278091,176
2025-04-11,061660,291,292539,190
2025-04-12,061660,168,171003,105
2025-04-13,061660,158,155517,96
2025-04-14,061660,264,258128,157
2025-04-15,061660,292,288736,177
2025-04-16,061660,269,265520,164
2025-04-17,061660,302,302341,187
2025-04-18,061660,244,251628,155
2025-04-19,061660,159,170859,110
2025-04-20,061660,162,168354,99
2025-04-21,061660,298,297536,177
2025-04-22,061660,261,256625,149
2025-04-23,061660,359,352790,212
2025-04-24,061660,276,274122,173
2025-04-25,061660,234,233493,145
2025-04-26,061660,180,182639,109
2025-04-27,061660,142,149998,100
2025-04-28,061660,402,391322,221
2025-04-29,061660,345,339972,198
2025-04-30,061660,257,263692,165
2025-05-01,061660,188,205328,117
2025-05-02,061660,240,258592,148
2025-05-03,061660,176,188571,105
2025-05-04,061660,134,142722,81
2025-05-05,061660,125,127869,68
2025-05-06,061660,186,199452,103
2025-05-07,061660,313,331232,193
2025-05-08,061660,333,354752,237
2025-05-09,061660,230,241871,134
2025-05-10,061660,152,166812,99
2025-05-11,061660,188,205827,117
2025-05-12,061660,351,365410,198
2025-05-13,061660,304,330010,198
2025-05-14,061660,261,285788,172
2025-05-15,061660,258,284109,177
2025-05-16,061660,269,291325,169
2025-05-17,061660,175,188378,114
2025-05-18,061660,161,174499,97
2025-05-19,061660,276,288725,165
2025-05-20,061660,278,298448,180
2025-05-21,061660,282,293898,162
2025-05-22,061660,281,303851,175
2025-05-23,061660,278,302501,174
2025-05-24,061660,182,195284,110
2025-05-25,061660,178,189871,103
2025-05-26,061660,313,326254,178
2025-05-27,061660,405,420186,218
2025-05-28,061660,303,327500,191
2025-05-29,061660,360,380725,208
2025-05-30,061660,287,310447,182
2025-05-31,061660,179,199264,109
2025-03-01,062576,107,178300,72
2025-03-02,062576,117,194850,80
2025-03-03,062576,107,176550,70
2025-03-04,062576,177,290498,91
2025-03-05,062576,170,281366,113
2025-03-06,062576,159,264000,100
2025-03-07,062576,146,240850,93
2025-03-08,062576,127,213848,90
2025-03-09,062576,123,201558,83
2025-03-10,062576,162,267300,101
2025-03-11,062576,185,306800,114
2025-03-12,062576,159,263900,108
2025-03-13,062576,126,206424,83
2025-03-14,062576,155,254903,108
2025-03-15,062576,147,242238,94
2025-03-16,062576,77,126676,51
2025-03-17,062576,152,250335,98
2025-03-18,062576,149,245702,99
2025-03-19,062576,129,214194,85
2025-03-20,062576,127,211100,88
2025-03-21,062576,165,277300,110
2025-03-22,062576,98,159789,72
2025-03-23,062576,113,186921,77
2025-03-24,062576,157,258906,91
2025-03-25,062576,169,281352,109
2025-03-26,062576,154,253240,105
2025-03-27,062576,193,320000,121
2025-03-28,062576,114,187150,69
2025-03-29,062576,101,166650,69
2025-03-30,062576,78,128700,54
2025-03-31,062576,135,224075,92
2025-04-01,062576,157,259050,99
2025-04-02,062576,141,233386,86
2025-04-03,062576,155,254750,97
2025-04-04,062576,147,241820,76
2025-04-05,062576,83,136605,59
2025-04-06,062576,86,141600,53
2025-04-07,062576,132,220788,80
2025-04-08,062576,149,247164,98
2025-04-09,062576,159,263504,100
2025-04-10,062576,111,184500,74
2025-04-11,062576,129,214213,84
2025-04-12,062576,102,169052,72
2025-04-13,062576,90,148500,65
2025-04-14,062576,81,132626,55
2025-04-15,062576,130,214395,82
2025-04-16,062576,143,235058,90
2025-04-17,062576,123,200470,77
2025-04-18,062576,153,254705,96
2025-04-19,062576,109,179341,71
2025-04-20,062576,72,120450,52
2025-04-21,062576,150,249300,96
2025-04-22,062576,130,216050,87
2025-04-23,062576,146,240900,97
2025-04-24,062576,129,212750,91
2025-04-25,062576,126,209450,88
2025-04-26,062576,107,176476,68
2025-04-27,062576,136,223567,73
2025-04-28,062576,143,235792,99
2025-04-29,062576,131,217370,87
2025-04-30,062576,134,222502,85
2025-05-01,062576,75,125316,49
2025-05-02,062576,109,191100,72
2025-05-03,062576,101,173250,49
2025-05-04,062576,98,165925,68
2025-05-05,062576,49,85470,37
2025-05-06,062576,65,110550,46
2025-05-07,062576,99,166650,68
2025-05-08,062576,103,174410,70
2025-05-09,062576,105,179978,66
2025-05-10,062576,112,194800,62
2025-05-11,062576,68,122150,51
2025-05-12,062576,137,229400,89
2025-05-13,062576,91,166220,71
2025-05-14,062576,114,197522,79
2025-05-15,062576,120,207470,77
2025-05-16,062576,105,186120,76
2025-05-17,062576,98,169950,64
2025-05-18,062576,104,183118,63
2025-05-19,062576,120,207570,77
2025-05-20,062576,132,223956,90
2025-05-21,062576,101,174090,65
2025-05-22,062576,138,242794,94
2025-05-23,062576,149,249223,97
2025-05-24,062576,74,130450,51
2025-05-25,062576,104,176490,67
2025-05-26,062576,110,192986,69
2025-05-27,062576,114,196350,74
2025-05-28,062576,131,228822,85
2025-05-29,062576,143,248820,98
2025-05-30,062576,168,289538,111
2025-05-31,062576,153,274425,92
2025-03-01,071778,964,2308644,886
2025-03-02,071778,842,2004748,765
2025-03-03,071778,764,1819767,715
2025-03-04,071778,1695,4021401,1561
2025-03-05,071778,1706,4038735,1585
2025-03-06,071778,1697,4023878,1600
2025-03-07,071778,1569,3730620,1471
2025-03-08,071778,1097,2624686,1001
2025-03-09,071778,927,2218485,861
2025-03-10,071778,1832,4347987,1675
2025-03-11,071778,1788,4243440,1646
2025-03-12,071778,1755,4149420,1623
2025-03-13,071778,1784,4221809,1655
2025-03-14,071778,1675,3982771,1579
2025-03-15,071778,1199,2871083,1120
2025-03-16,071778,975,2314518,904
2025-03-17,071778,1818,4290295,1665
2025-03-18,071778,1784,4226399,1657
2025-03-19,071778,1837,4350749,1687
2025-03-20,071778,1794,4266923,1654
2025-03-21,071778,1756,4169163,1646
2025-03-22,071778,1132,2710977,1040
2025-03-23,071778,1087,2648962,1004
2025-03-24,071778,1931,4584075,1787
2025-03-25,071778,1953,4621787,1809
2025-03-26,071778,1862,4421149,1712
2025-03-27,071778,1853,4404488,1756
2025-03-28,071778,1803,4272297,1658
2025-03-29,071778,1060,2524384,971
2025-03-30,071778,945,2254299,874
2025-03-31,071778,1813,4301070,1657
2025-04-01,071778,1793,4261666,1667
2025-04-02,071778,1891,4487853,1746
2025-04-03,071778,1810,4292997,1672
2025-04-04,071778,1708,4068002,1589
2025-04-05,071778,1093,2610181,993
2025-04-06,071778,1041,2506342,950
2025-04-07,071778,1915,4572056,1772
2025-04-08,071778,1855,4402568,1729
2025-04-09,071778,1852,4373308,1719
2025-04-10,071778,1895,4496573,1741
2025-04-11,071778,1786,4252548,1659
2025-04-12,071778,1161,2771886,1045
2025-04-13,071778,981,2330261,898
2025-04-14,071778,1768,4178750,1656
2025-04-15,071778,1905,4523021,1768
2025-04-16,071778,1904,4521839,1717
2025-04-17,071778,1898,4499547,1784
2025-04-18,071778,1806,4314886,1682
2025-04-19,071778,1135,2711768,1048
2025-04-20,071778,1137,2762516,1000
2025-04-21,071778,1895,4507390,1717
2025-04-22,071778,1834,4354057,1737
2025-04-23,071778,2029,4820031,1891
2025-04-24,071778,1950,4635952,1793
2025-04-25,071778,1861,4424491,1729
2025-04-26,071778,1311,3149951,1199
2025-04-27,071778,1096,2632028,989
2025-04-28,071778,1841,4344173,1722
2025-04-29,071778,1934,4588667,1776
2025-04-30,071778,1808,4321640,1668
2025-05-01,071778,1227,2925593,1101
2025-05-02,071778,1664,3964429,1570
2025-05-03,071778,1139,2726920,1050
2025-05-04,071778,1105,2671428,1001
2025-05-05,071778,926,2234699,853
2025-05-06,071778,991,2395333,915
2025-05-07,071778,2051,4868562,1913
2025-05-08,071778,1975,4678436,1845
2025-05-09,071778,1694,4019367,1601
2025-05-10,071778,1143,2717636,1080
2025-05-11,071778,1128,2713356,1037
2025-05-12,071778,1925,4587565,1780
2025-05-13,071778,1938,4608014,1810
2025-05-14,071778,1945,4623430,1825
2025-05-15,071778,1893,4505303,1767
2025-05-16,071778,1854,4418718,1687
2025-05-17,071778,1354,3254899,1166
2025-05-18,071778,1246,2998170,1046
2025-05-19,071778,1907,4526195,1640
2025-05-20,071778,1963,4682099,1704
2025-05-21,071778,1990,4742896,1771
2025-05-22,071778,2098,5013354,1776
2025-05-23,071778,1923,4583981,1696
2025-05-24,071778,1293,3107099,1133
2025-05-25,071778,1298,3164927,1120
2025-05-26,071778,2070,4942602,1772
2025-05-27,071778,2138,5103339,1814
2025-05-28,071778,2119,5064503,1814
2025-05-29,071778,2049,4883319,1775
2025-05-30,071778,2010,4790676,1787
2025-05-31,071778,1392,3349183,1163
2025-03-01,071880,33,84541,33
2025-03-02,071880,35,90964,37
2025-03-03,071880,33,84613,33
2025-03-04,071880,30,77768,30
2025-03-05,071880,34,86704,34
2025-03-06,071880,32,81864,32
2025-03-07,071880,44,109888,46
2025-03-08,071880,34,88008,33
2025-03-09,071880,30,76605,32
2025-03-10,071880,38,98086,37
2025-03-11,071880,30,76821,30
2025-03-12,071880,30,77665,29
2025-03-13,071880,30,76384,32
2025-03-14,071880,33,85276,33
2025-03-15,071880,29,75400,29
2025-03-16,071880,36,91929,36
2025-03-17,071880,28,71737,28
2025-03-18,071880,32,81972,32
2025-03-19,071880,36,93095,37
2025-03-20,071880,37,93710,36
2025-03-21,071880,21,54336,22
2025-03-22,071880,34,86876,32
2025-03-23,071880,29,77782,28
2025-03-24,071880,37,94592,39
2025-03-25,071880,30,76980,29
2025-03-26,071880,22,57800,25
2025-03-27,071880,40,102876,39
2025-03-28,071880,45,113895,46
2025-03-29,071880,30,78600,31
2025-03-30,071880,50,125786,51
2025-03-31,071880,36,92323,36
2025-04-01,071880,28,72608,28
2025-04-02,071880,29,74055,31
2025-04-03,071880,43,111453,42
2025-04-04,071880,48,124332,49
2025-04-05,071880,45,117600,44
2025-04-06,071880,45,118107,47
2025-04-07,071880,30,77944,31
2025-04-08,071880,34,87910,36
2025-04-09,071880,38,98176,40
2025-04-10,071880,36,92577,35
2025-04-11,071880,36,91277,36
2025-04-12,071880,44,114428,47
2025-04-13,071880,34,88270,34
2025-04-14,071880,32,81463,33
2025-04-15,071880,31,79548,31
2025-04-16,071880,42,106847,43
2025-04-17,071880,41,106768,42
2025-04-18,071880,48,124426,49
2025-04-19,071880,36,92585,36
2025-04-20,071880,39,104591,39
2025-04-21,071880,25,64814,25
2025-04-22,071880,32,82552,32
2025-04-23,071880,29,76892,27
2025-04-24,071880,46,122000,46
2025-04-25,071880,44,112964,44
2025-04-26,071880,47,124635,46
2025-04-27,071880,36,95175,35
2025-04-28,071880,32,84135,37
2025-04-29,071880,31,79184,32
2025-04-30,071880,35,91638,36
2025-05-01,071880,33,84430,35
2025-05-02,071880,30,75784,30
2025-05-03,071880,45,118436,47
2025-05-04,071880,40,101648,40
2025-05-05,071880,29,75412,29
2025-05-06,071880,28,74200,29
2025-05-07,071880,42,106682,44
2025-05-08,071880,29,74486,28
2025-05-09,071880,42,109200,43
2025-05-10,071880,41,106092,45
2025-05-11,071880,42,110395,44
2025-05-12,071880,22,55736,22
2025-05-13,071880,40,99644,42
2025-05-14,071880,36,93525,36
2025-05-15,071880,38,97453,42
2025-05-16,071880,41,105371,42
2025-05-17,071880,23,58284,22
2025-05-18,071880,32,85800,30
2025-05-19,071880,34,89722,34
2025-05-20,071880,25,64510,27
2025-05-21,071880,30,77706,29
2025-05-22,071880,36,92435,37
2025-05-23,071880,45,113459,45
2025-05-24,071880,38,98677,38
2025-05-25,071880,39,104601,40
2025-05-26,071880,33,85682,33
2025-05-27,071880,32,82324,32
2025-05-28,071880,28,71327,30
2025-05-29,071880,44,113424,53
2025-05-30,071880,44,114713,44
2025-05-31,071880,33,86489,33
2025-03-01,073564,6,22731,6
2025-03-02,073564,9,33249,11
2025-03-03,073564,8,30084,8
2025-03-04,073564,5,19500,5
2025-03-05,073564,6,20448,6
2025-03-06,073564,8,30500,8
2025-03-07,073564,9,34800,9
2025-03-08,073564,16,60745,16
2025-03-09,073564,11,42530,13
2025-03-10,073564,3,11700,3
2025-03-11,073564,9,34848,9
2025-03-12,073564,12,46800,12
2025-03-13,073564,9,35100,9
2025-03-14,073564,8,30816,8
2025-03-15,073564,5,19900,5
2025-03-16,073564,8,31200,8
2025-03-17,073564,7,27300,8
2025-03-18,073564,9,35100,9
2025-03-19,073564,6,23400,6
2025-03-20,073564,9,34736,9
2025-03-21,073564,6,23400,6
2025-03-22,073564,12,46800,12
2025-03-23,073564,5,19516,5
2025-03-24,073564,9,35100,9
2025-03-25,073564,4,15226,4
2025-03-26,073564,9,35900,9
2025-03-27,073564,11,41709,13
2025-03-28,073564,12,45377,12
2025-03-29,073564,10,38088,10
2025-03-30,073564,8,30138,8
2025-03-31,073564,5,19500,5
2025-04-01,073564,13,50700,14
2025-04-02,073564,8,30000,8
2025-04-03,073564,9,35100,9
2025-04-04,073564,6,22329,6
