search_string_norm,inventory_search_string,mapped_pos_item_code,mapped_item_name,mapped_category_hierarchy,category_l,category_m,match_type,match_score,search_count,unique_users
메론킥,메론킥,125216,농심)메론킥60g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,2789,1530
야마자키,야마자키,124228,야마자키 12년,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,2470,1143
팅클,팅클,127714,PB)K리그슛!팅클별매콤달콤60g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,2371,1340
생드래프트,생드래프트,109131,신동엽)생드래프트비어500ml캔,맥주>국산맥주>수제맥주,맥주,국산맥주,search_in_item,80,2266,1069
오이스터베이,오이스터베이,125447,오이스터베이쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,2248,929
신동엽블랙서클,신동엽 블랙서클,123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,2235,727
롯데,롯데,990274,"[롯데온] 5,000원 할인(4월)",기타>판촉물>판촉물,기타,판촉물,item_startswith_search,90,2196,1565
산리오,산리오,128224,산리오)네컷자석프레임기획(헬로키티),과자>비스킷류>행사상품,과자,비스킷류,item_startswith_search,90,2022,1272
모찌,모찌,128203,G)마루짱모찌우동109g,면>용기면>라면(소형컵),면,용기면,search_in_item,80,1938,816
씨앗,씨앗,125435,KBO)롯데자이언츠씨앗호떡빵97g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,1915,598
지오도bdm,지오도 bdm,124510,우진)지오도BDM 18,양주와인>와인>레드,양주와인,와인,search_in_item,80,1859,747
참치마요,참치마요,141364,CJ)참치마요덮밥(컵반),가공식품>가공미반류>즉석컵밥,가공식품,가공미반류,search_in_item,80,1818,694
보히가스,보히가스,191659,무학)보히가스까바브룻750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,1755,556
샤또꾸떼,샤또 꾸떼,125474,우진)샤또꾸떼16,양주와인>와인>화이트,양주와인,와인,search_in_item,80,1734,444
조니워커,조니워커,113158,조니워커 18년 750ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,1733,759
도그포인트,도그포인트,191866,빈티지)도그포인트쇼비뇽블랑750,양주와인>와인>화이트,양주와인,와인,search_in_item,80,1707,548
거인,거인,125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,1610,526
위스키,위스키,192628,11월 위스키 구독,,,,search_in_item,80,1605,1095
바밤바,바밤바,124549,PB)바밤바꿀밤생크림빵120g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,search_in_item,80,1592,478
스트롱사와,스트롱사와,124486,7P)스트롱사와거봉500ml,양주와인>하이볼>수입하이볼,양주와인,하이볼,search_in_item,80,1480,583
카드,카드,125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,1468,995
포차코,포차코,107605,K리그산리오 포차코3단우산,일용잡화>우산>3단우산,일용잡화,우산,search_in_item,80,1450,382
라그랑주,라그랑주,125475,우진)샤또라그랑주 19,양주와인>와인>레드,양주와인,와인,search_in_item,80,1430,327
신동엽,신동엽,123923,신동엽)블랙서클위스키700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,1409,575
최강록,최강록,124530,최강록의간장들기름비빔밥,미반>도시락>기타,미반,도시락,item_startswith_search,90,1392,417
드보뀌베,드보 뀌베,192580,무학)드보뀌베D 750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,1390,579
푸하하,푸하하,109500,PB)NEW푸하하리얼딸기크림빵110g,디저트>냉장베이커리>냉장빵,디저트,냉장베이커리,search_in_item,80,1363,317
배비치,배비치,191943,배비치 말보로 쇼비뇽블랑,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,1323,648
삼각김밥,삼각김밥,834791,"10월 삼각김밥,김밥 구독",,,,search_in_item,80,1323,871
두산,두산,124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,1316,542
오일스타,오일스타,125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,search_in_item,80,1263,654
기아,기아,124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,1252,645
불닭김밥,불닭김밥,128115,롯데)크리미불닭김밥,미반>김밥>말이김밥,미반,김밥,search_in_item,80,1231,277
하이볼,하이볼,170929,미쓰이)스카치위스키하이볼350ml,양주와인>하이볼>국산하이볼,양주와인,하이볼,search_in_item,80,1223,929
도작,도작,105745,우진)샤또도작21,양주와인>와인>레드,양주와인,와인,search_in_item,80,1206,403
꾸떼,꾸떼,125474,우진)샤또꾸떼16,양주와인>와인>화이트,양주와인,와인,search_in_item,80,1195,655
우유,우유,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,1193,702
한화,한화,124684,KBO)삼립한화이글스핫투움바브레드90g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,1192,617
맥주,맥주,370977,PB)맥주종이컵5입,가정용품>행락용품>종이컵,가정용품,행락용품,search_in_item,80,1160,887
러시안잭쇼비뇽블랑,러시안잭 쇼비뇽블랑,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,1148,470
렌틸콩,렌틸콩,123618,렌틸콩유부초밥&에그샐러드,미반>초밥류>유부초밥,미반,초밥류,item_startswith_search,90,1147,462
랑그드샤,랑그드샤,601329,7P)랑그드샤초코70g,과자>비스킷류>쿠키,과자,비스킷류,search_in_item,80,1136,539
k리그,K리그,107729,K리그)기본티2XL,패션잡화>시즌/소품>기타,패션잡화,시즌/소품,item_startswith_search,90,1134,328
까네,까네,105742,우진)샤또뽕떼까네19,양주와인>와인>레드,양주와인,와인,search_in_item,80,1112,320
유부,유부,013831,유부초밥&크림치즈롤,미반>김밥>트레이김밥,미반,김밥,item_startswith_search,90,1058,479
유심,유심,323707,KT엠모바일)실용유심,서비스 상품>일반서비스>MVNO,서비스 상품,일반서비스,search_in_item,80,1053,692
라면,라면,127667,K리그)슛!더비라면,면>용기면>라면(대형컵),면,용기면,search_in_item,80,1048,762
루체21,루체 21,124513,우진)루체 21 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,1047,328
화요,화요,128619,화요 19금 박스(6입),전통주>소주>증류식소주,전통주,소주,item_startswith_search,90,1032,443
니콜라스,니콜라스,192500,빈티지)니콜라스뿌이야트(벚꽃),양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,1013,484
신퀀타,신퀀타,191932,금양)신퀀타750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,1007,472
지오도라퀸타,지오도 라퀸타,108365,우진)지오도라퀸타20/21 750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,971,290
와일드터키,와일드터키,123880,와일드 터키 101 8년,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,930,436
파이퍼,파이퍼,129747,파이퍼하이직레어퀸에디션750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,913,460
끼안티,끼안티,191572,롯데)일그리지오끼안티750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,912,326
막걸리,막걸리,180915,국순당)국순당쌀막걸리750ml,전통주>막걸리>살균막걸리,전통주,막걸리,search_in_item,80,905,600
유부초밥,유부초밥,013831,유부초밥&크림치즈롤,미반>김밥>트레이김밥,미반,김밥,item_startswith_search,90,896,345
몰리두커,몰리두커,192593,CSR)몰리두커기글팟750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,894,417
프라가,프라가,106868,러비어스)프라가500ml캔,맥주>수입맥주>캔맥주(중),맥주,수입맥주,search_in_item,80,892,291
젤리,젤리,123634,CJ)쁘띠첼과일젤리밀감90g,디저트>젤리>떠먹는젤리,디저트,젤리,search_in_item,80,889,633
릴하이브리드3,릴하이브리드3,107692,K)릴 하이브리드3(누아르블랙),담배>전자담배>전자담배(KT&G 릴),담배,전자담배,search_in_item,80,881,513
샐러드,샐러드,109625,"3,900유부초밥&치킨샐러드",미반>초밥류>유부초밥,미반,초밥류,search_in_item,80,874,527
계란,계란,111179,CJ)만능계란볶음밥200g,냉동>냉동간편식>냉동밥,냉동,냉동간편식,search_in_item,80,862,559
삼각,삼각,834791,"10월 삼각김밥,김밥 구독",,,,search_in_item,80,847,418
팝콘,팝콘,129679,CJ)오마이갓김치시즈닝팝콘80g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,834,450
앨런스콧,앨런스콧,192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인>와인>화이트,양주와인,와인,search_in_item,80,832,396
저당,저당,127209,저당소고기고추장김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,831,304
오이스터,오이스터,125447,오이스터베이쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,824,357
드럼스틱,드럼스틱,124686,나무)드럼스틱모양젤리(딸기&밀크)50g,과자>젤리류>수입젤리,과자,젤리류,search_in_item,80,808,424
포켓몬,포켓몬,106026,LG)포켓몬꼬부기선크림80ml_H,미용/화장품>여성화장품>시즌 화장품,미용/화장품,여성화장품,search_in_item,80,802,459
이스까이,이스까이,123539,이스까이,양주와인>와인>레드,양주와인,와인,exact_norm,100,797,356
냐냐,냐냐,125374,PB)자이언츠피카츄냐냐71g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,793,258
배비치블랙,배비치블랙,191945,배비치블랙 쇼비뇽블랑,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,790,303
쇼비뇽블랑,쇼비뇽블랑,129255,금양)라파우라불파독쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,784,371
파이퍼하이직,파이퍼하이직,129747,파이퍼하이직레어퀸에디션750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,780,344
딸보,딸보,105746,지비)샤또딸보2021,양주와인>와인>레드,양주와인,와인,search_in_item,80,777,371
초코,초코,123806,초코딸기샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,item_startswith_search,90,768,566
샴페인,샴페인,113181,샴페인 알랭 베셀 트래디션 브뤼750ml,양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,765,531
샤스,샤스,105743,우진)샤또샤스스플린21,양주와인>와인>레드,양주와인,와인,search_in_item,80,752,258
단팥빵,단팥빵,125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,747,144
발베니,발베니,118860,발베니 12년 싱글배럴 700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,712,443
미쓰이,미쓰이,109496,미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,item_startswith_search,90,709,303
까까맛교통카드,까까맛교통카드,124760,이즐)까까맛교통카드(가나),서비스 상품>일반서비스>교통카드판매,서비스 상품,일반서비스,search_in_item,80,707,569
러시안잭,러시안잭,191561,러시안잭 소비뇽블랑 750ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,688,303
맥캘란,맥캘란,113512,맥캘란 12년 더블캐스크 700ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,686,351
삼성,삼성,400913,삼성)까스명수골드,약품/의료품>의약외품>의약외품,약품/의료품,의약외품,item_startswith_search,90,670,288
치킨,치킨,105047,치킨너겟꼬치,즉석 식품>즉석치킨>꼬치류,즉석 식품,즉석치킨,item_startswith_search,90,641,414
서울우유,서울우유,123995,엠탑)서울우유인삼꿀라떼원컵,건강/기호식품>원컵>국산차,건강/기호식품,원컵,search_in_item,80,625,241
전주식비빔밥,전주식비빔밥,105887,롯데)맛장우맛자랑 전주식비빔밥,미반>도시락>도시락,미반,도시락,search_in_item,80,617,113
설화병,설화병,124523,G)설화병오리지널90g,과자>캔디류>봉지캔디,과자,캔디류,search_in_item,80,610,192
2025,2025,125865,2025KBO오피셜컬렉션카드,문구/완구>일반완구>일반완구,문구/완구,일반완구,item_startswith_search,90,606,83
바나나,바나나,601330,7P)초코바나나칩46g,과자>비스킷류>쿠키,과자,비스킷류,search_in_item,80,605,368
맵탱,맵탱,106866,삼양)맵탱마늘조개라면봉지,면>봉지면>라면,면,봉지면,search_in_item,80,604,279
맛장우도시락,맛장우도시락,108494,맛장우도시락 고기(肉)올인원,미반>도시락>기타,미반,도시락,item_startswith_search,90,600,256
이장우,이장우,125102,이장우)오일스타알리오올리오,면>용기면>숙면/건면,면,용기면,item_startswith_search,90,600,296
스트롱,스트롱,124486,7P)스트롱사와거봉500ml,양주와인>하이볼>수입하이볼,양주와인,하이볼,search_in_item,80,595,275
이봉원,이봉원,125040,PB)이봉원의봉새우볶음밥260g,냉동>냉동간편식>냉동밥,냉동,냉동간편식,search_in_item,80,578,412
초콜릿,초콜릿,123629,G)LOOK초콜릿(네가지과일)44g,과자>초콜릿>볼초콜릿,과자,초콜릿,search_in_item,80,576,400
올리비에,올리비에,123421,빈티지)올리비에르플레브뀌베마고21/22,양주와인>와인>레드,양주와인,와인,search_in_item,80,575,218
앙리,앙리,123396,앙리마티스)와인볼(레드)500ml캔,양주와인>하이볼>국산하이볼,양주와인,하이볼,item_startswith_search,90,568,413
우유푸딩,우유푸딩,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,567,157
전남친,전남친,125831,전남친샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,item_startswith_search,90,555,277
자가비,자가비,126747,해태)자가비밀크쉐이크맛45g,과자>스낵류>감자스낵,과자,스낵류,search_in_item,80,554,253
환타,환타,125749,코카)환타멜론600ml,음료>탄산음료>과일향탄산(중),음료,탄산음료,search_in_item,80,554,319
릴하이브리드,릴 하이브리드,107692,K)릴 하이브리드3(누아르블랙),담배>전자담배>전자담배(KT&G 릴),담배,전자담배,search_in_item,80,549,261
생맥주,생맥주,170921,아사히)아사히생맥주캔340ml,맥주>수입맥주>캔맥주(소),맥주,수입맥주,search_in_item,80,537,448
크림빵,크림빵,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,533,216
아이스크림,아이스크림,106113,매일)페레로란드누아아이스크림70ml,아이스크림>고급>바,아이스크림,고급,search_in_item,80,532,460
저지,저지,123101,G)오하요저지우유푸딩115g,디저트>젤리>푸딩,디저트,젤리,search_in_item,80,529,231
치즈,치즈,123110,치즈&치즈버거,조리빵>햄버거>햄버거,조리빵,햄버거,item_startswith_search,90,528,363
프로야구,프로야구,128207,KBO)2025프로야구콜렉션카드플러스,문구/완구>일반완구>일반완구,문구/완구,일반완구,search_in_item,80,526,225
딸기,딸기,129612,딸기)알딸막650ml,전통주>막걸리>생막걸리,전통주,막걸리,item_startswith_search,90,520,248
앙드레,앙드레,129753,신세계)앙드레끌루에실버브뤼(신)750,양주와인>와인>스파클링(샴페인),양주와인,와인,search_in_item,80,520,231
안티노리,안티노리,108357,아영)빌라안티노리끼안티클라시코750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,511,232
빌라,빌라,192551,리몬첼로빌라까르데700ml,양주와인>리쿼>리쿼,양주와인,리쿼,search_in_item,80,510,164
히밥,히밥,114339,히밥)럭히밥김찌라면큰컵,면>용기면>라면(대형컵),면,용기면,item_startswith_search,90,508,235
크보,크보,210825,해태)탱크보이120ml,아이스크림>노벨티>펜슬,아이스크림,노벨티,search_in_item,80,502,266
생초콜릿,생초콜릿,109496,미쓰이)생초콜릿모찌40g,디저트>냉동디저트>냉동떡,디저트,냉동디저트,search_in_item,80,500,298
캇예스,캇예스,124291,일신)캇예스레인보우75g,과자>젤리류>수입젤리,과자,젤리류,search_in_item,80,496,257
두부,두부,105732,CJ)다담순두부찌개양념130g,조미료/건물>소스류>양념장/조리소스,조미료/건물,소스류,search_in_item,80,495,317
머드하우스,머드하우스,126838,머드하우스 라파우라 소비뇽블랑,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,495,215
유자,유자,129512,유자치킨샌드,조리빵>샌드위치>기타 ,조리빵,샌드위치,item_startswith_search,90,478,227
빌라안티노리,빌라안티노리,108357,아영)빌라안티노리끼안티클라시코750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,474,215
마라,마라,106529,마라순살꼬치,즉석 식품>즉석치킨>꼬치류,즉석 식품,즉석치킨,item_startswith_search,90,471,275
럭히밥,럭히밥,122982,럭히밥 대왕돈까스도시락,미반>도시락>기타,미반,도시락,item_startswith_search,90,467,190
일그리지오,일그리지오,191978,일그리지오끼안티750ml,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,464,297
떡볶이,떡볶이,073564,CJ)가래떡떡볶이310g,냉장>냉장간편식>냉장떡볶이,냉장,냉장간편식,search_in_item,80,457,297
불닭볶음면,불닭볶음면,132457,삼양)까르보불닭볶음면(큰컵),면>용기면>비빔/볶음면,면,용기면,search_in_item,80,457,321
샤스스플린,샤스스플린,105743,우진)샤또샤스스플린21,양주와인>와인>레드,양주와인,와인,search_in_item,80,456,178
하리보,하리보,123138,하리보)계란프라이모양젤리80g,과자>젤리류>수입젤리,과자,젤리류,item_startswith_search,90,454,292
불닭치즈소시지,불닭치즈소시지,108543,불닭치즈소시지김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,450,161
대파,대파,053279,대파크림치즈스틱,즉석 식품>즉석치킨>기타류 ,즉석 식품,즉석치킨,item_startswith_search,90,449,218
산토리,산토리,124917,산토리)가쿠빈180ml,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,443,279
선양,선양,180641,선양)맑을린360ml병,전통주>소주>병소주,전통주,소주,item_startswith_search,90,441,348
메론,메론,133077,HK)컨디션스파클링메론소다제로100ml,음료>기능성드링크>숙취해소음료,음료,기능성드링크,search_in_item,80,439,303
짜파게티,짜파게티,124561,농심)마라짜파게티큰사발,면>용기면>비빔/볶음면,면,용기면,search_in_item,80,429,335
하쿠슈,하쿠슈,124229,하쿠슈 DR,양주와인>양주>위스키,양주와인,양주,item_startswith_search,90,428,256
꼬북칩,꼬북칩,127545,오리온)꼬북칩양념치킨맛68g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,419,221
빌라안티노리끼안티클라시코,빌라안티노리 끼안티 클라시코,108357,아영)빌라안티노리끼안티클라시코750ml,양주와인>와인>레드,양주와인,와인,search_in_item,80,419,177
콘칩,콘칩,123307,PB)착한콘칩65g,과자>스낵류>옥수수스낵,과자,스낵류,search_in_item,80,415,251
스플린,스플린,105743,우진)샤또샤스스플린21,양주와인>와인>레드,양주와인,와인,search_in_item,80,414,161
우동,우동,080960,CJ)가쓰오우동222.5g(큰컵),냉장>냉장간편식>냉장면,냉장,냉장간편식,search_in_item,80,413,312
뀌베,뀌베,123479,라포스톨 뀌베 알렉상드르 까르메네르,양주와인>와인>레드,양주와인,와인,search_in_item,80,410,267
신라면,신라면,132142,농심)신라면120g,면>봉지면>라면,면,봉지면,search_in_item,80,410,306
참치마요네즈,참치마요네즈,014071,그린)NEW햄참치마요네즈삼각,미반>삼각김밥>삼각김밥,미반,삼각김밥,search_in_item,80,409,152
빈티지,빈티지,192500,빈티지)니콜라스뿌이야트(벚꽃),양주와인>와인>스파클링(샴페인),양주와인,와인,item_startswith_search,90,404,134
퍼지,퍼지,211645,벤앤제리스)초코퍼지파인트473ml,아이스크림>고급>파인트,아이스크림,고급,search_in_item,80,402,216
야구,야구,109649,야구장크림새우,즉석 식품>즉석치킨(삭제예정)>세트류_삭제예정,즉석 식품,즉석치킨(삭제예정),item_startswith_search,90,399,162
스파게티,스파게티,128383,스파게티김밥,미반>김밥>말이김밥,미반,김밥,item_startswith_search,90,397,300
과자,과자,600600,PB)피카츄계란과자108g,과자>스낵류>일반스낵,과자,스낵류,search_in_item,80,396,328
말차,말차,129745,PB)말차딸기라떼250ml,유음료>컵커피>300ml 미만,유음료,컵커피,search_in_item,80,395,247
햄버거,햄버거,835018,"10월 샌드위치,햄버거 구독",,,,search_in_item,80,394,249
후와토로리치,후와토로리치,105770,시원)후와토로리치생초콜릿40g,디저트>냉동디저트>냉동빵,디저트,냉동디저트,search_in_item,80,394,142
착한,착한,116392,PB)착한김(20입),조미료/건물>건해산물>농수산건물,조미료/건물,건해산물,search_in_item,80,393,161
거인단팥빵,거인단팥빵,125340,KBO)롯데자이언츠거인단팥빵100g,빵>간식빵>캐릭터빵,빵,간식빵,search_in_item,80,392,57
마고,마고,123421,빈티지)올리비에르플레브뀌베마고21/22,양주와인>와인>레드,양주와인,와인,search_in_item,80,389,187
요거트,요거트,125570,요거트구운단호박샐러드165g,미반>샐러드 >채소샐러드 ,미반,샐러드 ,item_startswith_search,90,386,280
컵누들,컵누들,105968,G)닛신컵누들칠리토마토맛70g,면>용기면>라면(소형컵),면,용기면,search_in_item,80,385,264
옥수수,옥수수,030673,MDS)옥수수콘치즈255g,간식>냉장피자>파스타/그라탕,간식,냉장피자,search_in_item,80,383,241
라그랑,라그랑,125475,우진)샤또라그랑주 19,양주와인>와인>레드,양주와인,와인,search_in_item,80,381,123
알포트,알포트,601413,스위트)알포트미니딸기초콜릿55g,과자>초콜릿>판초콜릿,과자,초콜릿,search_in_item,80,379,142
콜미,콜미,108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인>와인>화이트,양주와인,와인,search_in_item,80,379,197
맛장우전주식비빔밥,맛장우전주식비빔밥,014387,맛장우전주식비빔밥,미반>도시락>기타,미반,도시락,exact_norm,100,377,74
카스테라,카스테라,083771,PB)쏘스윗카스테라160g,빵>간식빵>간식용케익,빵,간식빵,search_in_item,80,377,204
파이열매,파이열매,124317,롯데)파이열매73g,과자>비스킷류>파이,과자,비스킷류,search_in_item,80,375,152
pb,pb,121686,PB) NEW둥굴레차25입,건강/기호식품>차>티백차류,건강/기호식품,차,item_startswith_search,90,372,173
버거,버거,835018,"10월 샌드위치,햄버거 구독",,,,search_in_item,80,368,173
샌드,샌드,191263,샌드만화이트포트 580ml,양주와인>와인>화이트,양주와인,와인,item_startswith_search,90,367,176
배홍동,배홍동,132666,농심)배홍동비빔면(4입),면>봉지면>비빔/볶음면,면,봉지면,search_in_item,80,364,198
토마토,토마토,105968,G)닛신컵누들칠리토마토맛70g,면>용기면>라면(소형컵),면,용기면,search_in_item,80,361,231
펩시,펩시,105935,칠성)펩시라임제로카페인355ml,음료>탄산음료>제로탄산,음료,탄산음료,search_in_item,80,361,220
아영,아영,190518,아영)디아블로까버네쇼비뇽750ml,양주와인>와인>레드,양주와인,와인,item_startswith_search,90,360,145
월드콘,월드콘,125580,PB)자이언츠월드콘160ml,아이스크림>노벨티>콘,아이스크림,노벨티,search_in_item,80,359,243
